Rank,Feature,Mean_SHAP
1,EXP_HEPHL1 (341208),0.0003298324601801402
2,CRISPR_ZBTB40 (9923),0.00025442962482050515
3,CRISPR_BTBD2 (55643),0.0001857295883062431
4,EXP_ANAPC16 (119504),0.00017726627275728844
5,CRISPR_SLC2A12 (154091),0.00017433686800505702
6,EXP_FSCN1 (6624),0.00015801409170865786
7,EXP_SMIM30 (401397),0.00012812024322451536
8,EXP_ME2 (4200),0.00012436867323891115
9,CRISPR_ERLN (100130933),0.00012313778643382073
10,EXP_NKX3-1 (4824),0.0001153055532489762
11,CRISPR_C16orf92 (146378),0.00011420194002069227
12,CRISPR_CSAD (51380),0.00011184363924801068
13,CRISPR_F2R (2149),0.00011101024729408771
14,CRISPR_H3C2 (8358),0.00010907741748112836
15,CRISPR_E2F4 (1874),0.0001070312729504563
16,EXP_PRPF3 (9129),0.00010487303345597545
17,EXP_NDUFA5 (4698),0.00010384484332910679
18,EXP_USP31 (57478),0.00010188909230426708
19,CRISPR_PXMP2 (5827),0.00010173344158536594
20,CRISPR_MYL7 (58498),0.00010069471748345052
