Rank,Feature,Mean_SHAP,Posterior_Mean,Posterior_SD,Posterior_Median,Coefficient_of_Variation
1,EXP_HEPHL1 (341208),0.0003298324601801,0.00032989477,1.9974033e-05,0.00032986014,0.06054668
2,CRISPR_ZBTB40 (9923),0.0002544296248205,0.0002539615,1.865126e-05,0.00025334588,0.07344129
3,CRISPR_BTBD2 (55643),0.0001857295883062,0.00018593633,2.4113317e-05,0.00018488013,0.12968588
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00017692217,0.08991774
5,CRISPR_SLC2A12 (154091),0.000174336868005,0.00017435515,1.3111368e-05,0.00017415443,0.0751992
6,EXP_FSCN1 (6624),0.0001580140917086,0.00015805534,8.860028e-06,0.00015807252,0.056056496
7,EXP_SMIM30 (401397),0.0001281202432245,0.00012801951,1.31771685e-05,0.00012837193,0.10293094
8,EXP_ME2 (4200),0.0001243686732389,0.0001243338,1.0296522e-05,0.00012458577,0.08281354
9,CRISPR_ERLN (100130933),0.0001231377864338,0.00012321763,1.7084154e-05,0.00012246397,0.13865024
10,EXP_NKX3-1 (4824),0.0001153055532489,0.00011517401,9.0583435e-06,0.000115079965,0.0786492
11,CRISPR_C16orf92 (146378),0.0001142019400206,0.000113877555,9.515526e-06,0.000113443624,0.083559275
12,CRISPR_CSAD (51380),0.000111843639248,0.000111871705,7.409657e-06,0.00011201673,0.06623352
13,CRISPR_F2R (2149),0.000111010247294,0.00011121887,1.1686203e-05,0.000110991925,0.10507392
14,CRISPR_H3C2 (8358),0.0001090774174811,0.00010924076,6.7564583e-06,0.00010916341,0.061849244
15,CRISPR_E2F4 (1874),0.0001070312729504,0.00010671357,1.1802511e-05,0.00010656805,0.11059991
16,EXP_PRPF3 (9129),0.0001048730334559,0.00010507629,8.367287e-06,0.00010494383,0.07963059
17,EXP_NDUFA5 (4698),0.0001038448433291,0.000103555896,1.100801e-05,0.00010338466,0.106300175
18,EXP_USP31 (57478),0.0001018890923042,0.00010201627,6.1254837e-06,0.00010188007,0.060044184
19,CRISPR_PXMP2 (5827),0.0001017334415853,0.000101731275,8.411321e-06,0.00010179699,0.08268176
20,CRISPR_MYL7 (58498),0.0001006947174834,0.00010038799,1.0208777e-05,0.00010003842,0.10169321
