Source,Pathway,Overlap,Background,Odds_Ratio,P_Value,Mean_Posterior,Genes,Adjusted_P
Reactome,S Phase R-HSA-69242,2,161,11.956521739130434,0.011628246981214896,0.00014184752,"ANAPC16, E2F4",0.17907292852193166
Reactome,Degradation Of Cysteine And Homocysteine R-HSA-1614558,1,13,74.03846153846153,0.013429551463224975,0.000111871705,CSAD,0.17907292852193166
Reactome,Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,1,16,60.15625,0.01650510659985104,0.00010671357,E2F4,0.17907292852193166
Reactome,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,1,18,53.47222222222222,0.01855059133471681,0.00010671357,E2F4,0.17907292852193166
Reactome,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,1,19,50.6578947368421,0.01957187063613751,0.00010671357,E2F4,0.17907292852193166
Reactome,Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,1,20,48.125,0.02059217568794276,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Class I Peroxisomal Membrane Protein Import R-HSA-9603798,1,20,48.125,0.02059217568794276,0.000101731275,PXMP2,0.17907292852193166
Reactome,Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,1,20,48.125,0.02059217568794276,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Phosphorylation Of APC/C R-HSA-176412,1,20,48.125,0.02059217568794276,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Cellular Hexose Transport R-HSA-189200,1,21,45.83333333333333,0.021611507335101875,0.00017435515,SLC2A12,0.17907292852193166
Reactome,Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,1,21,45.83333333333333,0.021611507335101875,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Common Pathway Of Fibrin Clot Formation R-HSA-140875,1,22,43.75,0.022629866421924567,0.00011121887,F2R,0.17907292852193166
Reactome,APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,1,24,40.104166666666664,0.02466367028850408,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Sulfur Amino Acid Metabolism R-HSA-1614635,1,25,38.5,0.025679116753586317,0.000111871705,CSAD,0.17907292852193166
Reactome,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,1,26,37.01923076923077,0.026693594028983886,0.00017698147,ANAPC16,0.17907292852193166
Reactome,G0 And Early G1 R-HSA-1538133,1,27,35.648148148148145,0.027707102955715254,0.00010671357,E2F4,0.17907292852193166
Reactome,EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,1,29,33.189655172413794,0.029731219123969307,0.000101731275,PXMP2,0.17907292852193166
Reactome,G1/S-Specific Transcription R-HSA-69205,1,29,33.189655172413794,0.029731219123969307,0.00010671357,E2F4,0.17907292852193166
Reactome,Glyoxylate Metabolism And Glycine Degradation R-HSA-389661,1,31,31.048387096774192,0.03175147197336698,0.000101731275,PXMP2,0.17907292852193166
Reactome,Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926,1,32,30.078125,0.032760151749069696,0.00011121887,F2R,0.17907292852193166
Reactome,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,1,36,26.73611111111111,0.03678524604957371,0.00017698147,ANAPC16,0.17907292852193166
Reactome,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,1,36,26.73611111111111,0.03678524604957371,0.00010671357,E2F4,0.17907292852193166
Reactome,Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,1,37,26.013513513513512,0.037789117601371956,0.00011121887,F2R,0.17907292852193166
Reactome,Diseases Of Mitotic Cell Cycle R-HSA-9675126,1,38,25.32894736842105,0.03879203001245366,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Transcriptional Regulation By VENTX R-HSA-8853884,1,39,24.67948717948718,0.03979398411598481,0.00017698147,ANAPC16,0.17907292852193166
Reactome,Smooth Muscle Contraction R-HSA-445355,1,43,22.383720930232556,0.04379223409513403,0.00010038799,MYL7,0.19026970675816857
Reactome,Metabolism Of Amino Acids And Derivatives R-HSA-71291,2,363,5.303030303030303,0.052803130432877446,0.00010680149,"CSAD, PXMP2",0.19568218925125172
Reactome,Cyclin D Associated Events In G1 R-HSA-69231,1,47,20.478723404255316,0.047775217637576556,0.00010671357,E2F4,0.19568218925125172
Reactome,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,1,48,20.052083333333332,0.04876858435828849,0.00010671357,E2F4,0.19568218925125172
Reactome,Complex I Biogenesis R-HSA-6799198,1,51,18.872549019607842,0.051742987754015514,0.000103555896,NDUFA5,0.19568218925125172
Reactome,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,1,51,18.872549019607842,0.051742987754015514,0.00010671357,E2F4,0.19568218925125172
