Source,Pathway,Number_of_Biomarkers,Biomarkers,Mean_Posterior,Max_Posterior,Mean_SHAP
KEGG,Pathways in cancer,2,"F2R, NKX3-1",0.00011319644000000001,0.00011517401,0.00011315790027145
KEGG,Regulation of actin cytoskeleton,2,"F2R, MYL7",0.00010580343,0.00011121887,0.0001058524823887
KEGG,MicroRNAs in cancer,1,FSCN1,0.00015805534,0.00015805534,0.0001580140917086
KEGG,Pyruvate metabolism,1,ME2,0.0001243338,0.0001243338,0.0001243686732389
KEGG,Prostate cancer,1,NKX3-1,0.00011517401,0.00011517401,0.0001153055532489
KEGG,Taurine and hypotaurine metabolism,1,CSAD,0.000111871705,0.000111871705,0.000111843639248
KEGG,Calcium signaling pathway,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,Complement and coagulation cascades,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,Neuroactive ligand-receptor interaction,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,PI3K-Akt signaling pathway,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,Phospholipase D signaling pathway,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,Platelet activation,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,Rap1 signaling pathway,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,cAMP signaling pathway,1,F2R,0.00011121887,0.00011121887,0.000111010247294
KEGG,Cell cycle,1,E2F4,0.00010671357,0.00010671357,0.0001070312729504
KEGG,Cellular senescence,1,E2F4,0.00010671357,0.00010671357,0.0001070312729504
KEGG,TGF-beta signaling pathway,1,E2F4,0.00010671357,0.00010671357,0.0001070312729504
KEGG,Spliceosome,1,PRPF3,0.00010507629,0.00010507629,0.0001048730334559
KEGG,Alzheimer disease,1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Huntington disease,1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Non-alcoholic fatty liver disease (NAFLD),1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Oxidative phosphorylation,1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Parkinson disease,1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Retrograde endocannabinoid signaling,1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Thermogenesis,1,NDUFA5,0.000103555896,0.000103555896,0.0001038448433291
KEGG,Peroxisome,1,PXMP2,0.000101731275,0.000101731275,0.0001017334415853
KEGG,Focal adhesion,1,MYL7,0.00010038799,0.00010038799,0.0001006947174834
KEGG,Leukocyte transendothelial migration,1,MYL7,0.00010038799,0.00010038799,0.0001006947174834
