Source,Pathway,Number_of_Biomarkers,Biomarkers,Mean_Posterior,Max_Posterior,Mean_SHAP
Reactome,Cell Cycle R-HSA-1640170,2,"ANAPC16, E2F4",0.00014184752,0.00017698147,0.0001421487728538
Reactome,"Cell Cycle, Mitotic R-HSA-69278",2,"ANAPC16, E2F4",0.00014184752,0.00017698147,0.0001421487728538
Reactome,Gene Expression (Transcription) R-HSA-74160,2,"ANAPC16, E2F4",0.00014184752,0.00017698147,0.0001421487728538
Reactome,Generic Transcription Pathway R-HSA-212436,2,"ANAPC16, E2F4",0.00014184752,0.00017698147,0.0001421487728538
Reactome,RNA Polymerase II Transcription R-HSA-73857,2,"ANAPC16, E2F4",0.00014184752,0.00017698147,0.0001421487728538
Reactome,S Phase R-HSA-69242,2,"ANAPC16, E2F4",0.00014184752,0.00017698147,0.0001421487728538
Reactome,Metabolism Of Amino Acids And Derivatives R-HSA-71291,2,"CSAD, PXMP2",0.00010680149,0.000111871705,0.00010678854041665001
Reactome,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Assembly Of Pre-Replicative Complex R-HSA-68867,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Cell Cycle Checkpoints R-HSA-69620,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Cellular Responses To Stimuli R-HSA-8953897,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Cellular Responses To Stress R-HSA-2262752,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Cellular Senescence R-HSA-2559583,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,DNA Replication Pre-Initiation R-HSA-69002,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,DNA Replication R-HSA-69306,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
Reactome,Disease R-HSA-1643685,1,ANAPC16,0.00017698147,0.00017698147,0.0001772662727572
