Feature,Gene,Modality
EXP_CTDNEP1 (23399),CTDNEP1,Expression
EXP_SCYL1 (57410),SCYL1,Expression
EXP_CTSZ (1522),CTSZ,Expression
EXP_MAP2K6 (5608),MAP2K6,Expression
EXP_TTC4 (7268),TTC4,Expression
EXP_C2orf68 (388969),C2orf68,Expression
EXP_CD79B (974),CD79B,Expression
EXP_FADS3 (3995),FADS3,Expression
EXP_HADHA (3030),HADHA,Expression
EXP_TNFSF12 (8742),TNFSF12,Expression
EXP_WASHC2C (253725),WASHC2C,Expression
EXP_ENO2 (2026),ENO2,Expression
EXP_IFIT2 (3433),IFIT2,Expression
EXP_ABHD4 (63874),ABHD4,Expression
EXP_USP1 (7398),USP1,Expression
EXP_VEGFC (7424),VEGFC,Expression
EXP_NFKB1 (4790),NFKB1,Expression
EXP_F2R (2149),F2R,Expression
EXP_ASIC1 (41),ASIC1,Expression
EXP_PTGES (9536),PTGES,Expression
EXP_NADK2 (133686),NADK2,Expression
EXP_MEA1 (4201),MEA1,Expression
EXP_RALGDS (5900),RALGDS,Expression
EXP_UNC119 (9094),UNC119,Expression
EXP_C9orf72 (203228),C9orf72,Expression
EXP_SLC22A14 (9389),SLC22A14,Expression
EXP_RIN2 (54453),RIN2,Expression
EXP_TAGLN3 (29114),TAGLN3,Expression
EXP_ZDHHC17 (23390),ZDHHC17,Expression
EXP_TBL1XR1 (79718),TBL1XR1,Expression
EXP_CAMK2N2 (94032),CAMK2N2,Expression
EXP_FAM53B (9679),FAM53B,Expression
EXP_TGFBI (7045),TGFBI,Expression
EXP_MOCS3 (27304),MOCS3,Expression
EXP_CRCP (27297),CRCP,Expression
EXP_ZNF394 (84124),ZNF394,Expression
EXP_MAP1LC3B (81631),MAP1LC3B,Expression
EXP_CCNT2 (905),CCNT2,Expression
EXP_NSMF (26012),NSMF,Expression
EXP_KHK (3795),KHK,Expression
EXP_VAC14 (55697),VAC14,Expression
EXP_WDR43 (23160),WDR43,Expression
EXP_PPCDC (60490),PPCDC,Expression
EXP_TMPRSS3 (64699),TMPRSS3,Expression
EXP_PPP6R2 (9701),PPP6R2,Expression
EXP_GK5 (256356),GK5,Expression
EXP_TADA3 (10474),TADA3,Expression
EXP_DDX50 (79009),DDX50,Expression
EXP_SAYSD1 (55776),SAYSD1,Expression
EXP_ROM1 (6094),ROM1,Expression
EXP_HHIP (64399),HHIP,Expression
EXP_MICAL1 (64780),MICAL1,Expression
EXP_ACTR5 (79913),ACTR5,Expression
EXP_PRPF3 (9129),PRPF3,Expression
EXP_PICALM (8301),PICALM,Expression
EXP_AOX1 (316),AOX1,Expression
EXP_CASP10 (843),CASP10,Expression
EXP_GOSR2 (9570),GOSR2,Expression
EXP_NPEPL1 (79716),NPEPL1,Expression
EXP_ZNF480 (147657),ZNF480,Expression
EXP_SLC37A1 (54020),SLC37A1,Expression
EXP_POGK (57645),POGK,Expression
EXP_NMB (4828),NMB,Expression
EXP_MAP3K4 (4216),MAP3K4,Expression
EXP_CCT6B (10693),CCT6B,Expression
EXP_ANKRD39 (51239),ANKRD39,Expression
EXP_ZNF12 (7559),ZNF12,Expression
EXP_LRIF1 (55791),LRIF1,Expression
EXP_BMPR2 (659),BMPR2,Expression
EXP_PKD2L2 (27039),PKD2L2,Expression
EXP_LURAP1 (541468),LURAP1,Expression
EXP_SPTBN4 (57731),SPTBN4,Expression
EXP_TMA16 (55319),TMA16,Expression
EXP_MCRS1 (10445),MCRS1,Expression
EXP_ZMYM5 (9205),ZMYM5,Expression
EXP_LETM1 (3954),LETM1,Expression
EXP_VPS41 (27072),VPS41,Expression
EXP_CLEC2B (9976),CLEC2B,Expression
EXP_MZF1 (7593),MZF1,Expression
EXP_HMGXB3 (22993),HMGXB3,Expression
EXP_GCA (25801),GCA,Expression
EXP_SORD (6652),SORD,Expression
EXP_ROBO1 (6091),ROBO1,Expression
EXP_JAG1 (182),JAG1,Expression
EXP_SF3B5 (83443),SF3B5,Expression
EXP_DNAJC3 (5611),DNAJC3,Expression
EXP_NELFB (25920),NELFB,Expression
EXP_UST (10090),UST,Expression
EXP_PRRC2A (7916),PRRC2A,Expression
EXP_PPP1R15A (23645),PPP1R15A,Expression
EXP_VPS72 (6944),VPS72,Expression
EXP_PPP1R13B (23368),PPP1R13B,Expression
EXP_PPIG (9360),PPIG,Expression
EXP_IL12A (3592),IL12A,Expression
EXP_COL6A1 (1291),COL6A1,Expression
EXP_GTF2IRD2B (389524),GTF2IRD2B,Expression
EXP_RHPN2 (85415),RHPN2,Expression
EXP_CHST12 (55501),CHST12,Expression
EXP_POMGNT2 (84892),POMGNT2,Expression
EXP_MOSPD3 (64598),MOSPD3,Expression
EXP_GID4 (79018),GID4,Expression
EXP_AOC3 (8639),AOC3,Expression
EXP_COMMD2 (51122),COMMD2,Expression
EXP_FURIN (5045),FURIN,Expression
EXP_SLC44A1 (23446),SLC44A1,Expression
EXP_MICU1 (10367),MICU1,Expression
EXP_EFHD2 (79180),EFHD2,Expression
EXP_TMED4 (222068),TMED4,Expression
EXP_CCDC18 (343099),CCDC18,Expression
EXP_REXO5 (81691),REXO5,Expression
EXP_DHTKD1 (55526),DHTKD1,Expression
EXP_CNIH3 (149111),CNIH3,Expression
EXP_FGD4 (121512),FGD4,Expression
EXP_BPNT2 (54928),BPNT2,Expression
EXP_TCP1 (6950),TCP1,Expression
EXP_IDE (3416),IDE,Expression
EXP_CHCHD5 (84269),CHCHD5,Expression
EXP_BBS7 (55212),BBS7,Expression
EXP_NCALD (83988),NCALD,Expression
EXP_STARD4 (134429),STARD4,Expression
EXP_CUL1 (8454),CUL1,Expression
EXP_RNF139 (11236),RNF139,Expression
EXP_CNNM2 (54805),CNNM2,Expression
EXP_PNPLA4 (8228),PNPLA4,Expression
EXP_DSC2 (1824),DSC2,Expression
EXP_JAK2 (3717),JAK2,Expression
EXP_MTRFR (91574),MTRFR,Expression
EXP_TNFRSF21 (27242),TNFRSF21,Expression
EXP_ADM5 (199800),ADM5,Expression
EXP_IFT20 (90410),IFT20,Expression
EXP_ZNG1E (220869),ZNG1E,Expression
EXP_ANKRD1 (27063),ANKRD1,Expression
EXP_FGD6 (55785),FGD6,Expression
EXP_TADA1 (117143),TADA1,Expression
EXP_PARP9 (83666),PARP9,Expression
EXP_WDR97 (340390),WDR97,Expression
EXP_NUDC (10726),NUDC,Expression
EXP_BOC (91653),BOC,Expression
EXP_DPH2 (1802),DPH2,Expression
EXP_TRAPPC4 (51399),TRAPPC4,Expression
EXP_BCAS1 (8537),BCAS1,Expression
EXP_FBXW11 (23291),FBXW11,Expression
EXP_ATIC (471),ATIC,Expression
EXP_RBM47 (54502),RBM47,Expression
EXP_RAB38 (23682),RAB38,Expression
EXP_BUD23 (114049),BUD23,Expression
EXP_RBFA (79863),RBFA,Expression
EXP_UBLCP1 (134510),UBLCP1,Expression
EXP_SEMA6B (10501),SEMA6B,Expression
EXP_BAIAP2L1 (55971),BAIAP2L1,Expression
EXP_TMEM69 (51249),TMEM69,Expression
EXP_CUTC (51076),CUTC,Expression
EXP_TYMS (7298),TYMS,Expression
EXP_ACD (65057),ACD,Expression
EXP_TATDN1 (83940),TATDN1,Expression
EXP_LRRC3 (81543),LRRC3,Expression
EXP_PAXBP1 (94104),PAXBP1,Expression
EXP_DISC1 (27185),DISC1,Expression
EXP_PIGM (93183),PIGM,Expression
EXP_RAB5B (5869),RAB5B,Expression
EXP_HPCA (3208),HPCA,Expression
EXP_CCNB3 (85417),CCNB3,Expression
EXP_STXBP5 (134957),STXBP5,Expression
EXP_AKT1 (207),AKT1,Expression
