Gene,GeneID,GlobalID
TSPAN6,0,0
DPM1,2,1
SCYL3,3,2
NFYA,9,3
STPG1,10,4
SEMA3F,14,5
CFTR,15,6
LAP3,22,7
MAD1L1,28,8
SNX11,30,9
CYP26B1,34,10
ICA1,35,11
DBNDD1,36,12
ALS2,37,13
CASP10,38,14
TFPI,40,15
PLXND1,48,16
AK2,49,17
KDM1A,52,18
RBM6,53,19
VPS50,56,20
ARHGAP33,58,21
SLC25A13,65,22
SLC4A1,68,23
SLC25A5,75,24
HOXA11,77,25
POLR2J,78,26
DHX33,79,27
LIG3,82,28
ACSM3,84,29
REXO5,85,30
CIAPIN1,86,31
ATOSB,88,32
CREBBP,92,33
KMT2E,100,34
ZNF263,127,35
TNFRSF12A,131,36
BAIAP2L1,135,37
VPS41,153,38
SCIN,156,39
PNPLA4,158,40
ADIPOR2,160,41
CDKL3,161,42
CCDC124,166,43
PAFAH1B1,168,44
DNAH9,170,45
GAS7,173,46
TRAPPC6A,174,47
CD79B,177,48
ST7L,179,49
PAX6,181,50
CACNA2D2,185,51
BAIAP3,186,52
TEAD3,190,53
DNAJC11,192,54
NOX1,195,55
E2F2,196,56
SYPL1,208,57
SPAG9,210,58
SS18L2,214,59
MGST1,216,60
NFIX,219,61
MMP25,221,62
PKD1,223,63
MED24,225,64
UBE3C,231,65
REV3L,232,66
MASP2,235,67
TRAF3IP3,238,68
VTA1,240,69
BAZ1B,242,70
RANBP9,243,71
SPRTN,245,72
STARD3NL,250,73
FUZ,260,74
CD4,265,75
SCMH1,269,76
HIVEP2,271,77
FMO1,272,78
ELOA,273,79
CLCN6,275,80
MRC2,276,81
APBA3,280,82
MKS1,281,83
TTC19,288,84
DPF1,290,85
LARS2,292,86
ANLN,295,87
RABGAP1,297,88
CEP68,301,89
LDAF1,305,90
BRCA1,307,91
CD22,309,92
MBTPS2,311,93
LTF,313,94
EXTL3,314,95
MAP4K5,321,96
CLDN11,326,97
SLC25A39,327,98
PGM3,330,99
RWDD2A,331,100
ANGEL1,334,101
RNF14,335,102
DDX11,337,103
TACC3,342,104
UFL1,343,105
ZC3H3,345,106
CAPN1,346,107
MDH1,348,108
COX15,351,109
CCDC88C,352,110
BID,357,111
NPC1L1,359,112
XYLT2,360,113
RGPD5,361,114
ATP2C1,370,115
RALBP1,373,116
AGPS,378,117
STEEP1,379,118
NCDN,393,119
MNAT1,396,120
SAMD4A,397,121
MRE11,399,122
PLEKHB1,400,123
NRXN3,405,124
OSBPL5,406,125
AQR,407,126
CPS1,408,127
C8B,409,128
RNH1,419,129
NDUFS1,420,130
ERP44,422,131
ALAS1,423,132
GLRX2,426,133
STRAP,429,134
UBR2,434,135
DEPDC1,436,136
PHF20,440,137
NR1H3,442,138
NCAPH2,444,139
TOMM34,445,140
SEC63,446,141
VIM,448,142
CD44,451,143
SH2D2A,461,144
VRK2,462,145
TNFRSF1B,463,146
VEZT,464,147
TBPL1,468,148
RANBP3,486,149
PNPLA6,489,150
LRRC7,495,151
GAB2,498,152
FAM136A,512,153
VCL,513,154
ADSS2,517,155
RFC1,520,156
CUL3,522,157
ZZZ3,526,158
TUBG2,530,159
RPL26L1,531,160
METTL1,537,161
MAT2B,542,162
EDC4,544,163
MTREX,550,164
PHF23,565,165
CDH10,566,166
LSG1,571,167
TNC,573,168
THAP3,574,169
AIFM2,577,170
MED17,579,171
RETSAT,580,172
CAPG,581,173
AP2S1,582,174
DCUN1D1,588,175
TRIT1,592,176
ADRB1,593,177
CTNNA1,596,178
EPHA3,599,179
WDR37,607,180
CTPS2,609,181
TPR,614,182
KATNIP,616,183
WWC3,622,184
MAP4,625,185
NOP16,631,186
VPS13D,641,187
ERCC8,647,188
ADAMTS6,648,189
VAMP3,650,190
