Pathway,Source,PathwayID,GlobalID
2-LTR Circle Formation R-HSA-164843,Reactome,0,4942
GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,Reactome,1,4943
ABC Transporter Disorders R-HSA-5619084,Reactome,2,4944
ABC Transporters In Lipid Homeostasis R-HSA-1369062,Reactome,3,4945
ABC-family Proteins Mediated Transport R-HSA-382556,Reactome,4,4946
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,Reactome,5,4947
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,Reactome,6,4948
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,Reactome,7,4949
AKT Phosphorylates Targets In Cytosol R-HSA-198323,Reactome,8,4950
AKT Phosphorylates Targets In Nucleus R-HSA-198693,Reactome,9,4951
ALK Mutants Bind TKIs R-HSA-9700645,Reactome,10,4952
AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680,Reactome,11,4953
APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337,Reactome,12,4954
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,Reactome,13,4955
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome,14,4956
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,Reactome,15,4957
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,Reactome,16,4958
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome,17,4959
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,Reactome,18,4960
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Reactome,19,4961
APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702,Reactome,20,4962
APOBEC3G Mediated Resistance To HIV-1 R-HSA-180689,Reactome,21,4963
ARMS-mediated Activation R-HSA-170984,Reactome,22,4964
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,Reactome,23,4965
ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,Reactome,24,4966
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,Reactome,25,4967
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,Reactome,26,4968
AURKA Activation By TPX2 R-HSA-8854518,Reactome,27,4969
Abacavir ADME R-HSA-2161522,Reactome,28,4970
Abacavir Metabolism R-HSA-2161541,Reactome,29,4971
Abacavir Transmembrane Transport R-HSA-2161517,Reactome,30,4972
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,Reactome,31,4973
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,Reactome,32,4974
Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,Reactome,33,4975
Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242,Reactome,34,4976
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome,35,4977
Acetylcholine Binding And Downstream Events R-HSA-181431,Reactome,36,4978
Acetylcholine Inhibits Contraction Of Outer Hair Cells R-HSA-9667769,Reactome,37,4979
Acetylcholine Regulates Insulin Secretion R-HSA-399997,Reactome,38,4980
Acrosome Reaction And Sperm:Oocyte Membrane Binding R-HSA-1300645,Reactome,39,4981
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948,Reactome,40,4982
Activated NTRK2 Signals Thru CDK5 R-HSA-9032845,Reactome,41,4983
Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731,Reactome,42,4984
Activated NTRK2 Signals Thru FYN R-HSA-9032500,Reactome,43,4985
Activated NTRK2 Signals Thru PI3K R-HSA-9028335,Reactome,44,4986
Activated NTRK2 Signals Thru RAS R-HSA-9026519,Reactome,45,4987
Activated NTRK3 Signals Thru PI3K R-HSA-9603381,Reactome,46,4988
Activated NTRK3 Signals Thru RAS R-HSA-9034864,Reactome,47,4989
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,48,4990
Activation Of AMPK Downstream Of NMDARs R-HSA-9619483,Reactome,50,4991
Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome,51,4992
Activation Of ATR In Response To Replication Stress R-HSA-176187,Reactome,52,4993
Activation Of BAD And Translocation To Mitochondria R-HSA-111447,Reactome,53,4994
Activation Of BH3-only Proteins R-HSA-114452,Reactome,54,4995
Activation Of C3 And C5 R-HSA-174577,Reactome,55,4996
Activation Of Ca-permeable Kainate Receptor R-HSA-451308,Reactome,56,4997
Activation Of G Protein Gated Potassium Channels R-HSA-1296041,Reactome,57,4998
Activation Of GABAB Receptors R-HSA-991365,Reactome,58,4999
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,59,5000
Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964,Reactome,60,5001
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome,61,5002
Activation Of NF-kappaB In B Cells R-HSA-1169091,Reactome,62,5003
"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767",Reactome,63,5004
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,Reactome,64,5005
Activation Of NOXA And Translocation To Mitochondria R-HSA-111448,Reactome,65,5006
Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209,Reactome,66,5007
Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,Reactome,67,5008
Activation Of RAC1 R-HSA-428540,Reactome,68,5009
Activation Of RAC1 Downstream Of NMDARs R-HSA-9619229,Reactome,69,5010
Activation Of SMO R-HSA-5635838,Reactome,70,5011
Activation Of TRKA Receptors R-HSA-187015,Reactome,71,5012
Activation Of Caspases Thru Apoptosome-Mediated Cleavage R-HSA-111459,Reactome,72,5013
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,Reactome,73,5014
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,Reactome,74,5015
Activation Of AP-1 Family Of Transcription Factors R-HSA-450341,Reactome,75,5016
Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907,Reactome,76,5017
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Reactome,77,5018
Activation Of Phototransduction Cascade R-HSA-2485179,Reactome,78,5019
Activation Of Pre-Replicative Complex R-HSA-68962,Reactome,79,5020
Acyl Chain Remodeling Of CL R-HSA-1482798,Reactome,80,5021
Acyl Chain Remodelling Of PC R-HSA-1482788,Reactome,82,5022
Acyl Chain Remodelling Of PE R-HSA-1482839,Reactome,83,5023
Acyl Chain Remodelling Of PG R-HSA-1482925,Reactome,84,5024
Acyl Chain Remodelling Of PI R-HSA-1482922,Reactome,85,5025
Acyl Chain Remodelling Of PS R-HSA-1482801,Reactome,86,5026
Adaptive Immune System R-HSA-1280218,Reactome,87,5027
Adenylate Cyclase Activating Pathway R-HSA-170660,Reactome,88,5028
Adenylate Cyclase Inhibitory Pathway R-HSA-170670,Reactome,89,5029
Adherens Junctions Interactions R-HSA-418990,Reactome,90,5030
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",Reactome,91,5031
Adrenoceptors R-HSA-390696,Reactome,92,5032
Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415,Reactome,93,5033
Aflatoxin Activation And Detoxification R-HSA-5423646,Reactome,94,5034
Aggrephagy R-HSA-9646399,Reactome,95,5035
Alpha-defensins R-HSA-1462054,Reactome,96,5036
Alpha-oxidation Of Phytanate R-HSA-389599,Reactome,97,5037
Alpha-protein Kinase 1 Signaling Pathway R-HSA-9645460,Reactome,98,5038
Amine Ligand-Binding Receptors R-HSA-375280,Reactome,99,5039
Amino Acid Transport Across Plasma Membrane R-HSA-352230,Reactome,101,5040
Amino Acids Regulate mTORC1 R-HSA-9639288,Reactome,102,5041
Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,Reactome,103,5042
Amyloid Fiber Formation R-HSA-977225,Reactome,104,5043
Anchoring Fibril Formation R-HSA-2214320,Reactome,105,5044
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,Reactome,106,5045
Androgen Biosynthesis R-HSA-193048,Reactome,107,5046
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,Reactome,108,5047
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",Reactome,109,5048
Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,Reactome,110,5049
Antigen processing-Cross Presentation R-HSA-1236975,Reactome,111,5050
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,Reactome,112,5051
Antimicrobial Peptides R-HSA-6803157,Reactome,113,5052
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,Reactome,114,5053
Apoptosis R-HSA-109581,Reactome,115,5054
Apoptosis Induced DNA Fragmentation R-HSA-140342,Reactome,116,5055
Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,Reactome,117,5056
Apoptotic Cleavage Of Cellular Proteins R-HSA-111465,Reactome,118,5057
Apoptotic Execution Phase R-HSA-75153,Reactome,119,5058
Apoptotic Factor-Mediated Response R-HSA-111471,Reactome,120,5059
Aquaporin-mediated Transport R-HSA-445717,Reactome,121,5060
Arachidonate Production From DAG R-HSA-426048,Reactome,122,5061
Arachidonic Acid Metabolism R-HSA-2142753,Reactome,123,5062
Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,Reactome,124,5063
Asparagine N-linked Glycosylation R-HSA-446203,Reactome,125,5064
Aspartate And Asparagine Metabolism R-HSA-8963693,Reactome,126,5065
Aspirin ADME R-HSA-9749641,Reactome,127,5066
Assembly Of HIV Virion R-HSA-175474,Reactome,128,5067
Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736,Reactome,129,5068
Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889,Reactome,130,5069
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Reactome,131,5070
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,132,5071
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,133,5072
Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,Reactome,134,5073
Asymmetric Localization Of PCP Proteins R-HSA-4608870,Reactome,135,5074
Attachment And Entry R-HSA-9678110,Reactome,137,5075
Attachment Of GPI Anchor To uPAR R-HSA-162791,Reactome,138,5076
Attenuation Phase R-HSA-3371568,Reactome,139,5077
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,Reactome,140,5078
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Reactome,141,5079
Autophagy R-HSA-9612973,Reactome,142,5080
Axon Guidance R-HSA-422475,Reactome,143,5081
Axonal Growth Inhibition (RHOA Activation) R-HSA-193634,Reactome,144,5082
Azathioprine ADME R-HSA-9748787,Reactome,145,5083
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,146,5084
BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922,Reactome,147,5085
BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453,Reactome,148,5086
"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",Reactome,149,5087
Base Excision Repair R-HSA-73884,Reactome,150,5088
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,151,5089
Basigin Interactions R-HSA-210991,Reactome,152,5090
Beta Defensins R-HSA-1461957,Reactome,153,5091
Beta Oxidation Of butanoyl-CoA To acetyl-CoA R-HSA-77352,Reactome,154,5092
