Feature,Importance
EXP_HEPHL1 (341208),0.0003256919538007258
CRISPR_ZBTB40 (9923),0.00025235014051920644
CRISPR_BTBD2 (55643),0.00018377309191484767
CRISPR_SLC2A12 (154091),0.000171865520434509
EXP_ANAPC16 (119504),0.00016971287348508754
EXP_FSCN1 (6624),0.0001558469056758053
EXP_SMIM30 (401397),0.0001268125186481265
EXP_ME2 (4200),0.00012130764751952709
CRISPR_ERLN (100130933),0.00012110758739783312
EXP_NKX3-1 (4824),0.00011260256552235397
CRISPR_CSAD (51380),0.00011009392748775675
CRISPR_F2R (2149),0.00010937313709523042
CRISPR_C16orf92 (146378),0.00010893254300411077
CRISPR_H3C2 (8358),0.00010730177692759116
CRISPR_PXMP2 (5827),0.00010465211771123162
CRISPR_E2F4 (1874),0.00010401900857008646
EXP_PRPF3 (9129),0.00010326143248195422
EXP_NDUFA5 (4698),0.00010146422040005903
EXP_PCGF6 (84108),9.865244985883297e-05
EXP_USP31 (57478),9.775003702880648e-05
CRISPR_MYL7 (58498),9.697365841316067e-05
CRISPR_PIGY (84992),9.63822628720915e-05
CRISPR_FBXW10 (10517),9.548052276236206e-05
EXP_PLXND1 (23129),9.547155306300977e-05
CRISPR_CHCHD5 (84269),9.533876584113962e-05
CRISPR_AK5 (26289),9.479131295475692e-05
CRISPR_TIMM8A (1678),9.370902300288549e-05
CRISPR_CEP290 (80184),9.352464983829882e-05
CRISPR_CORO1A (11151),8.895929550845154e-05
CRISPR_NAV1 (89796),8.884173224734129e-05
EXP_IER5 (51278),8.883031482088877e-05
EXP_ITGB1BP2 (26548),8.874626974162818e-05
CRISPR_IL12RB2 (3595),8.783874407319634e-05
EXP_RHPN1 (114822),8.718772700931267e-05
CRISPR_ANKRD23 (200539),8.657540039131951e-05
CRISPR_FAHD2A (51011),8.643101263827159e-05
EXP_TMEM177 (80775),8.629800273927648e-05
CRISPR_CD109 (135228),8.60466029732039e-05
EXP_KRT17 (3872),8.54577332166985e-05
EXP_SAPCD1 (401251),8.51414596338665e-05
EXP_PPFIBP1 (8496),8.47419899527951e-05
EXP_GABBR1 (2550),8.401413506382093e-05
EXP_C9orf72 (203228),8.390687072702437e-05
CRISPR_CACNB1 (782),8.384609404134442e-05
EXP_DLK2 (65989),8.376779909190448e-05
EXP_XAGE1A (653220),8.350968595822723e-05
CRISPR_S100A5 (6276),8.091204227953212e-05
EXP_IGFBP2 (3485),8.05591500252509e-05
CRISPR_RNF2 (6045),7.95972107517084e-05
CRISPR_TNFRSF13B (23495),7.913460596647626e-05
EXP_CPED1 (79974),7.872374585082792e-05
EXP_MTERF4 (130916),7.713351610516716e-05
EXP_LMO2 (4005),7.700694731846994e-05
EXP_LYPD3 (27076),7.69372126534626e-05
CRISPR_ANHX (647589),7.658697898001147e-05
CRISPR_NBAS (51594),7.55603890063446e-05
EXP_SENP7 (57337),7.511663647985828e-05
CRISPR_CLDN19 (149461),7.470717025069035e-05
EXP_GNB3 (2784),7.225990863532323e-05
EXP_DCTN5 (84516),7.18323272912769e-05
CRISPR_SMARCD1 (6602),7.139798693622099e-05
CRISPR_ZBTB7A (51341),7.123851294127427e-05
CRISPR_UBE3A (7337),7.05472869225079e-05
EXP_MCU (90550),6.970624651395293e-05
EXP_ACTL10 (170487),6.966910187586044e-05
EXP_PCGF5 (84333),6.87884069799549e-05
EXP_KCTD11 (147040),6.878655248199468e-05
EXP_SLC26A11 (284129),6.867602790912911e-05
CRISPR_SLC22A15 (55356),6.866347730842555e-05
CRISPR_TAF1 (6872),6.83855540930919e-05
CRISPR_LCMT1 (51451),6.82368466589718e-05
EXP_PRR22 (163154),6.820273224838496e-05
CRISPR_POLR1G (10849),6.796615281838596e-05
EXP_MLLT1 (4298),6.767409009870687e-05
CRISPR_SMAD7 (4092),6.743174316395945e-05
EXP_HNRNPH1 (3187),6.725767054918623e-05
CRISPR_RBSN (64145),6.716141587949874e-05
EXP_NSG1 (27065),6.690212638285385e-05
