Gene,Modality,Importance
HEPHL1,Expression,0.0003256919538007
ZBTB40,CRISPR,0.0002523501405192
BTBD2,CRISPR,0.0001837730919148
SLC2A12,CRISPR,0.0001718655204345
ANAPC16,Expression,0.000169712873485
FSCN1,Expression,0.0001558469056758
SMIM30,Expression,0.0001268125186481
ME2,Expression,0.0001213076475195
ERLN,CRISPR,0.0001211075873978
NKX3-1,Expression,0.0001126025655223
CSAD,CRISPR,0.0001100939274877
F2R,CRISPR,0.0001093731370952
C16orf92,CRISPR,0.0001089325430041
H3C2,CRISPR,0.0001073017769275
PXMP2,CRISPR,0.0001046521177112
E2F4,CRISPR,0.00010401900857
PRPF3,Expression,0.0001032614324819
NDUFA5,Expression,0.0001014642204
PCGF6,Expression,9.865244985883295e-05
USP31,Expression,9.775003702880648e-05
MYL7,CRISPR,9.697365841316068e-05
PIGY,CRISPR,9.63822628720915e-05
FBXW10,CRISPR,9.548052276236206e-05
PLXND1,Expression,9.547155306300976e-05
CHCHD5,CRISPR,9.533876584113962e-05
AK5,CRISPR,9.479131295475692e-05
TIMM8A,CRISPR,9.370902300288548e-05
CEP290,CRISPR,9.352464983829882e-05
CORO1A,CRISPR,8.895929550845154e-05
NAV1,CRISPR,8.884173224734129e-05
IER5,Expression,8.883031482088877e-05
ITGB1BP2,Expression,8.874626974162818e-05
IL12RB2,CRISPR,8.783874407319634e-05
RHPN1,Expression,8.718772700931267e-05
ANKRD23,CRISPR,8.657540039131951e-05
FAHD2A,CRISPR,8.643101263827159e-05
TMEM177,Expression,8.629800273927648e-05
CD109,CRISPR,8.60466029732039e-05
KRT17,Expression,8.54577332166985e-05
SAPCD1,Expression,8.51414596338665e-05
PPFIBP1,Expression,8.47419899527951e-05
GABBR1,Expression,8.401413506382093e-05
C9orf72,Expression,8.390687072702437e-05
CACNB1,CRISPR,8.384609404134442e-05
DLK2,Expression,8.376779909190448e-05
XAGE1A,Expression,8.350968595822723e-05
S100A5,CRISPR,8.091204227953212e-05
IGFBP2,Expression,8.05591500252509e-05
RNF2,CRISPR,7.95972107517084e-05
TNFRSF13B,CRISPR,7.913460596647626e-05
CPED1,Expression,7.872374585082792e-05
MTERF4,Expression,7.713351610516716e-05
LMO2,Expression,7.700694731846994e-05
LYPD3,Expression,7.69372126534626e-05
ANHX,CRISPR,7.658697898001147e-05
NBAS,CRISPR,7.55603890063446e-05
SENP7,Expression,7.511663647985828e-05
CLDN19,CRISPR,7.470717025069035e-05
GNB3,Expression,7.225990863532323e-05
DCTN5,Expression,7.18323272912769e-05
SMARCD1,CRISPR,7.139798693622099e-05
ZBTB7A,CRISPR,7.123851294127427e-05
UBE3A,CRISPR,7.05472869225079e-05
MCU,Expression,6.970624651395293e-05
ACTL10,Expression,6.966910187586044e-05
PCGF5,Expression,6.87884069799549e-05
KCTD11,Expression,6.878655248199468e-05
SLC26A11,Expression,6.867602790912911e-05
SLC22A15,CRISPR,6.866347730842555e-05
TAF1,CRISPR,6.83855540930919e-05
LCMT1,CRISPR,6.82368466589718e-05
PRR22,Expression,6.820273224838496e-05
POLR1G,CRISPR,6.796615281838596e-05
MLLT1,Expression,6.767409009870687e-05
SMAD7,CRISPR,6.743174316395945e-05
HNRNPH1,Expression,6.725767054918623e-05
RBSN,CRISPR,6.716141587949874e-05
NSG1,Expression,6.690212638285385e-05
FOXD4L1,Expression,6.689863090591725e-05
ZNF251,Expression,6.669030403365311e-05
ADAMTS6,CRISPR,6.660761571248459e-05
ALS2,Expression,6.597663297750558e-05
SLC25A24,Expression,6.595707127595819e-05
MTRF1,Expression,6.580048861838734e-05
ANKRD65,CRISPR,6.559414266270353e-05
ARL2BP,CRISPR,6.506479481859332e-05
COA6,Expression,6.487102738674478e-05
NAGPA,CRISPR,6.47407277016892e-05
NPR3,Expression,6.448221169717231e-05
MYO1B,Expression,6.416052799629563e-05
POGZ,CRISPR,6.404943972581622e-05
YWHAQ,Expression,6.403879241633117e-05
SSX5,CRISPR,6.403344114552689e-05
RAB6A,Expression,6.364473472032202e-05
KRBOX5,CRISPR,6.361465571422499e-05
DCAF4,CRISPR,6.269971838788136e-05
PEDS1,Expression,6.266904378332344e-05
DCTN6,Expression,6.262046698441367e-05
HNRNPR,CRISPR,6.261398432642009e-05
SHOX2,Expression,6.211155980351442e-05
CARHSP1,Expression,6.202129965539954e-05
DISC1,Expression,6.199080682262433e-05
RASEF,Expression,6.198772398467206e-05
MTPAP,Expression,6.186674615692502e-05
LHX1,CRISPR,6.186600401290277e-05
NDE1,Expression,6.183181097028796e-05
DTD1,CRISPR,6.180484685191157e-05
TENT4B,CRISPR,6.12080701935058e-05
MT-ATP8,Expression,6.113275979855142e-05
KIF2C,CRISPR,6.103858143175954e-05
H2AC20,Expression,6.101376168530333e-05
H3C10,CRISPR,6.0879424328362e-05
DET1,CRISPR,6.077033076522754e-05
G3BP1,CRISPR,6.025794457930115e-05
MIF4GD,CRISPR,6.014239243412409e-05
GNA12,Expression,6.011299937506962e-05
ADSS2,Expression,6.0107398051386746e-05
BTBD1,Expression,5.976576107484643e-05
XXYLT1,Expression,5.963277716836786e-05
CPS1,Expression,5.960461273773955e-05
H2AC25,Expression,5.9596678952914056e-05
LYSET,Expression,5.9094486712359794e-05
COMMD4,CRISPR,5.897484941041107e-05
TRIM22,Expression,5.8849613528918125e-05
CHD6,Expression,5.839703462580042e-05
NPAS1,Expression,5.816843321838989e-05
RAB24,CRISPR,5.806452866935755e-05
PRKCSH,CRISPR,5.803518737590053e-05
CCDC138,Expression,5.801025185317548e-05
ZNF143,CRISPR,5.80026062425624e-05
ANKRD23,Expression,5.780878911198908e-05
TMT1A,Expression,5.772297273229395e-05
TMEM256,CRISPR,5.765293839480442e-05
PPOX,Expression,5.756740657959911e-05
SNRPE,Expression,5.732239063038486e-05
CCNT2,Expression,5.73056514571048e-05
CHLSN,Expression,5.719905259336777e-05
MZF1,CRISPR,5.709847628820373e-05
P2RY2,Expression,5.707935650073112e-05
ZNF267,Expression,5.705906165455627e-05
TSPAN12,Expression,5.687203501614199e-05
LRRC3C,CRISPR,5.671040174459211e-05
ADGRF3,Expression,5.6599602120541934e-05
MSANTD4,Expression,5.635354814500346e-05
BICD1,Expression,5.625540816439402e-05
E2F7,Expression,5.606865641003887e-05
PUM3,Expression,5.606315778041196e-05
P3H4,CRISPR,5.604707892770887e-05
PDE6G,CRISPR,5.585653444170734e-05
RGS5,Expression,5.582920057077528e-05
WFDC10B,CRISPR,5.557174726823918e-05
PRSS53,Expression,5.54854509681337e-05
GIP,CRISPR,5.54744062609093e-05
CCDC122,Expression,5.533795488164168e-05
VASP,CRISPR,5.524928202212592e-05
PRPF39,Expression,5.514732403953772e-05
PCIF1,Expression,5.504927954595069e-05
VPS8,CRISPR,5.482472634491254e-05
ABCC1,Expression,5.480343333779778e-05
TBC1D17,Expression,5.479422782170799e-05
ALDH1A1,Expression,5.462151741406756e-05
SDHAF3,Expression,5.458056007282328e-05
ESAM,Expression,5.453726954700411e-05
PAPOLG,Mutation,5.438871807852376e-05
PTP4A3,CRISPR,5.433115791693052e-05
KIF22,CRISPR,5.412978536421489e-05
GCA,Expression,5.408281663382267e-05
APLF,Expression,5.394573942673128e-05
MECR,Expression,5.393724521340645e-05
GRHL3,Expression,5.393382362754711e-05
PMM2,CRISPR,5.386941795453789e-05
ZNF28,Expression,5.361073499631492e-05
EXTL3,CRISPR,5.3559469277469016e-05
MFF,CRISPR,5.350408358165414e-05
PLEKHG5,Expression,5.336685349873806e-05
LGALSL,Expression,5.323159943304521e-05
CCNH,Expression,5.321191651076272e-05
ARV1,Expression,5.320808163814196e-05
TMEM74B,Expression,5.299265103041831e-05
C1GALT1,Expression,5.286895055693823e-05
IZUMO4,Expression,5.247244737378703e-05
BCL7A,CRISPR,5.246388288734234e-05
RAB1A,CRISPR,5.237173799624638e-05
STK36,Expression,5.22313195514464e-05
UFL1,CRISPR,5.2212859396527846e-05
SNN,Expression,5.218568083360466e-05
RECQL5,CRISPR,5.218110602179555e-05
NUDT22,Expression,5.203154825127034e-05
TSPAN14,Expression,5.201682639843842e-05
PSTPIP2,Expression,5.198266929524639e-05
IGF2BP2,CRISPR,5.1936366912785215e-05
ANKHD1,CRISPR,5.192815251933087e-05
TTLL1,Mutation,5.183668847566879e-05
PYROXD2,Expression,5.175080300771156e-05
TAPBP,CRISPR,5.172791134690803e-05
DHX36,Expression,5.148993926788772e-05
SYPL1,Expression,5.148366079276046e-05
XAGE5,CRISPR,5.14390956107781e-05
TM9SF4,CRISPR,5.131811378292004e-05
CLIC1,CRISPR,5.1315637367923446e-05
PYGO2,CRISPR,5.116055300347401e-05
VBP1,CRISPR,5.113178171403502e-05
ZNF277,Expression,5.096641130885926e-05
UBE2T,CRISPR,5.086503570749506e-05
CWC22,Expression,5.086078392730376e-05
EHD4,Expression,5.0726707528276806e-05
NFIX,Expression,5.065732840864767e-05
TIMM22,Expression,5.064973921570509e-05
PPCS,CRISPR,5.060856008582569e-05
FHL3,Expression,5.053008119512616e-05
H2AC11,CRISPR,5.047279637190905e-05
ARHGAP11A,CRISPR,5.027165813664228e-05
MECR,CRISPR,5.018832214520386e-05
NFATC2IP,CRISPR,5.01364709400183e-05
IDNK,Expression,5.006917229739478e-05
CLDN11,Expression,4.993317671997511e-05
ERGIC3,Expression,4.984768166645042e-05
CENPB,CRISPR,4.964028446547072e-05
MERTK,Expression,4.957754720778367e-05
ZP3,CRISPR,4.940233731081472e-05
UVRAG,Expression,4.935595516422819e-05
DBN1,Expression,4.903401196053028e-05
UBE2O,CRISPR,4.894528709591789e-05
