Rank,Gene,Omics,Mean SHAP Importance
1,HEPHL1,Expression,0.0004105168718383
2,PTP4A3,CRISPR,0.0003832309641032
3,THRA,CRISPR,0.0002638205515093
4,BTBD2,CRISPR,0.0002062691103575
5,S100A5,CRISPR,0.000185968105441
6,PXMP2,CRISPR,0.0001832603137693
7,ZNF770,CRISPR,0.0001802880134663
8,ANAPC16,Expression,0.0001797967041124
9,USP31,Expression,0.0001636180036562
10,FBXW10,CRISPR,0.0001625064324363
11,FSCN1,Expression,0.0001590791693344
12,PHOSPHO2,Expression,0.0001573836319965
13,SPOP,CRISPR,0.0001560070150014
14,TMEM256,CRISPR,0.0001439356557219
15,REXO2,CRISPR,0.0001434603535315
16,FOXD4L1,Expression,0.0001423878911322
17,ZNF93,CRISPR,0.0001414468004627
18,SP6,CRISPR,0.0001381440654973
19,NDUFA5,Expression,0.000129839681566
20,KIF2C,CRISPR,0.0001283615189906
