DRUG_ID,DRUG_NAME,PathwayID,Pathway
1,Erlotinib,600,GRB2 EVENTS IN EGFR SIGNALING R-HSA-179812
11,Paclitaxel,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
17,Cyclopamine,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
32,Tozasertib,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
41,S-Trityl-L-cysteine,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
45,Z-LLNle-CHO,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
53,CGP-60474,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
54,CGP-082996,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
60,BI-2536,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
62,BMS-536924,695,IGF1R SIGNALING CASCADE R-HSA-2428924
71,Pyrimethamine,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
87,GW843682X,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
106,XMD8-85,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
110,Seliciclib,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
111,Salubrinal,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
127,GSK269962A,2051,REGULATION OF ACTIN CYTOSKELETON
133,Doxorubicin,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
134,Etoposide,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
135,Gemcitabine,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
136,Mitomycin-C,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
140,Vinorelbine,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
147,NSC-87877,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
151,QS11,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
153,Midostaurin,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
154,CHIR-99021,159,BETA-CATENIN INDEPENDENT WNT SIGNALING R-HSA-3858494
158,PF-562271,2051,REGULATION OF ACTIN CYTOSKELETON
165,DMOG,29,ABACAVIR METABOLISM R-HSA-2161541
166,FTI-277,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
167,OSU-03012,29,ABACAVIR METABOLISM R-HSA-2161541
170,Shikonin,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
172,Embelin,1837,APOPTOSIS
173,FH535,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
175,PAC-1,1837,APOPTOSIS
176,IPA-3,2051,REGULATION OF ACTIN CYTOSKELETON
179,5-Fluorouracil,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
180,Thapsigargin,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
182,Obatoclax Mesylate,1837,APOPTOSIS
