DRUG_ID,DRUG_NAME,GeneID,Gene
1,Erlotinib,8658,EGFR
5,Sunitinib,5848,KDR
5,Sunitinib,6799,PDGFRA
5,Sunitinib,2658,FLT1
5,Sunitinib,532,FLT4
5,Sunitinib,5127,FLT3
5,Sunitinib,4146,PDGFRB
5,Sunitinib,11357,RET
5,Sunitinib,9843,KIT
5,Sunitinib,14420,CSF1R
6,PHA-665752,3182,MET
9,MG-132,346,CAPN1
17,Cyclopamine,5906,SMO
29,AZ628,9879,BRAF
30,Sorafenib,5848,KDR
30,Sorafenib,6799,PDGFRA
30,Sorafenib,2658,FLT1
30,Sorafenib,1392,ARAF
30,Sorafenib,532,FLT4
30,Sorafenib,4146,PDGFRB
30,Sorafenib,6379,RAF1
30,Sorafenib,9879,BRAF
30,Sorafenib,9843,KIT
32,Tozasertib,1731,AURKA
32,Tozasertib,13915,AURKB
32,Tozasertib,2997,AURKC
34,Imatinib,2044,ABL1
34,Imatinib,4146,PDGFRB
34,Imatinib,6799,PDGFRA
34,Imatinib,9843,KIT
35,NVP-TAE684,12562,ALK
37,Crizotinib,3182,MET
37,Crizotinib,12562,ALK
37,Crizotinib,627,ROS1
38,Saracatinib,16031,SRC
38,Saracatinib,2044,ABL1
41,S-Trityl-L-cysteine,7437,KIF11
51,Dasatinib,6799,PDGFRA
51,Dasatinib,4146,PDGFRB
51,Dasatinib,16031,SRC
51,Dasatinib,9843,KIT
51,Dasatinib,2044,ABL1
52,GNF-2,2044,ABL1
53,CGP-60474,6658,CDK7
53,CGP-60474,11549,PRKCB
53,CGP-60474,5273,CDK2
53,CGP-60474,7153,CDK9
53,CGP-60474,9499,PRKCA
53,CGP-60474,10883,PRKCD
53,CGP-60474,11153,CDK5
53,CGP-60474,12576,PRKCE
53,CGP-60474,12394,CDK1
54,CGP-082996,6908,CDK4
55,A-770041,14465,LCK
55,A-770041,270,FYN
56,WH-4-023,14465,LCK
56,WH-4-023,16031,SRC
59,WZ-1-84,2571,BMX
60,BI-2536,11624,PLK1
60,BI-2536,13124,PLK3
60,BI-2536,8522,PLK2
62,BMS-536924,7777,IGF1R
63,BMS-509744,4085,ITK
83,JW-7-52-1,16462,MTOR
86,A-443654,8023,AKT1
86,A-443654,4583,AKT3
86,A-443654,3010,AKT2
87,GW843682X,11624,PLK1
88,Entinostat,4497,HDAC1
88,Entinostat,12707,HDAC3
89,Parthenolide,4497,HDAC1
110,Seliciclib,5273,CDK2
110,Seliciclib,7153,CDK9
110,Seliciclib,6658,CDK7
111,Salubrinal,8442,EIF2A
119,Lapatinib,7976,ERBB2
119,Lapatinib,8658,EGFR
127,GSK269962A,6710,ROCK2
127,GSK269962A,1013,ROCK1
150,Bicalutamide,12139,AR
151,QS11,2431,ARFGAP1
152,CP466722,8978,ATM
153,Midostaurin,2658,FLT1
153,Midostaurin,11549,PRKCB
153,Midostaurin,9499,PRKCA
153,Midostaurin,12576,PRKCE
153,Midostaurin,10883,PRKCD
154,CHIR-99021,1558,GSK3B
154,CHIR-99021,3135,GSK3A
155,Ponatinib,6799,PDGFRA
155,Ponatinib,5127,FLT3
155,Ponatinib,1383,FGFR1
155,Ponatinib,16031,SRC
155,Ponatinib,2044,ABL1
159,HG6-64-1,9879,BRAF
163,JQ1,7988,BRD4
163,JQ1,16677,BRD2
163,JQ1,12317,BRD3
163,JQ1,7387,BRDT
164,JQ12,4497,HDAC1
164,JQ12,15900,HDAC2
171,AKT inhibitor VIII,8023,AKT1
171,AKT inhibitor VIII,4583,AKT3
171,AKT inhibitor VIII,3010,AKT2
172,Embelin,2561,XIAP
176,IPA-3,8969,PAK1
177,GSK650394,2393,SGK2
177,GSK650394,2842,SGK3
178,BAY-61-3606,11190,SYK
182,Obatoclax Mesylate,12723,BCL2
182,Obatoclax Mesylate,8190,MCL1
184,BMS-754807,7777,IGF1R
185,Linsitinib,7777,IGF1R
192,LFM-A13,267,BTK
193,GW-2580,14420,CSF1R
197,Bryostatin 1,12576,PRKCE
197,Bryostatin 1,11549,PRKCB
197,Bryostatin 1,9499,PRKCA
197,Bryostatin 1,10883,PRKCD
199,Pazopanib,14420,CSF1R
199,Pazopanib,4146,PDGFRB
199,Pazopanib,6799,PDGFRA
199,Pazopanib,9843,KIT
200,Dacinostat,4497,HDAC1
202,GSK1904529A,7777,IGF1R
206,Ruxolitinib,2042,JAK2
206,Ruxolitinib,10455,JAK1
219,AT-7519,5273,CDK2
219,AT-7519,7153,CDK9
219,AT-7519,6908,CDK4
219,AT-7519,3149,CDK6
219,AT-7519,12394,CDK1
225,Genentech Cpd 10,1731,AURKA
225,Genentech Cpd 10,13915,AURKB
226,GSK1070916,1731,AURKA
226,GSK1070916,2997,AURKC
228,AKT inhibitor VIII,8023,AKT1
228,AKT inhibitor VIII,4583,AKT3
228,AKT inhibitor VIII,3010,AKT2
230,GSK429286A,6710,ROCK2
230,GSK429286A,1013,ROCK1
235,QL-XII-47,267,BTK
235,QL-XII-47,2571,BMX
249,Cabozantinib,5848,KDR
249,Cabozantinib,2658,FLT1
249,Cabozantinib,532,FLT4
249,Cabozantinib,5127,FLT3
249,Cabozantinib,11357,RET
249,Cabozantinib,3182,MET
249,Cabozantinib,9843,KIT
249,Cabozantinib,11786,AXL
252,WZ3105,8827,NTRK2
252,WZ3105,5127,FLT3
252,WZ3105,16031,SRC
252,WZ3105,6710,ROCK2
252,WZ3105,14736,IRAK1
253,XMD14-99,12562,ALK
253,XMD14-99,834,LTK
253,XMD14-99,6658,CDK7
254,Quizartinib,5127,FLT3
255,CP724714,7976,ERBB2
256,JW-7-24-1,14465,LCK
257,NPK76-II-72-1,13124,PLK3
261,TL-1-85,11920,MAP4K2
264,ACY-1215,1976,HDAC6
265,Tubastatin A,4497,HDAC1
265,Tubastatin A,1976,HDAC6
265,Tubastatin A,8707,HDAC8
268,Sepantronium bromide,1824,BIRC5
269,NSC-207895,16399,MDM4
272,AR-42,4497,HDAC1
273,CUDC-101,7976,ERBB2
273,CUDC-101,8658,EGFR
274,Belinostat,4497,HDAC1
275,I-BET-762,7988,BRD4
275,I-BET-762,16677,BRD2
275,I-BET-762,12317,BRD3
276,CAY10603,4497,HDAC1
276,CAY10603,1976,HDAC6
277,Linifanib,5127,FLT3
277,Linifanib,9843,KIT
277,Linifanib,14420,CSF1R
281,Alectinib,12562,ALK
282,Pelitinib,8658,EGFR
284,JNJ38877605,3182,MET
285,SU11274,3182,MET
286,KIN001-236,2274,HDAC10
286,KIN001-236,1976,HDAC6
287,KIN001-244,9282,PDK1
288,WHI-P97,3102,JAK3
289,KIN001-042,1558,GSK3B
290,KIN001-260,2047,CDC7
291,KIN001-266,2047,CDC7
292,Masitinib,4146,PDGFRB
292,Masitinib,6799,PDGFRA
292,Masitinib,9843,KIT
293,Amuvatinib,5127,FLT3
293,Amuvatinib,6799,PDGFRA
293,Amuvatinib,9843,KIT
295,NVP-BHG712,1392,ARAF
295,NVP-BHG712,16031,SRC
295,NVP-BHG712,6379,RAF1
295,NVP-BHG712,9879,BRAF
295,NVP-BHG712,2044,ABL1
295,NVP-BHG712,15843,EPHB4
298,OSI-930,9843,KIT
301,PHA-793887,11153,CDK5
301,PHA-793887,5273,CDK2
301,PHA-793887,6658,CDK7
302,PI-103,11810,DAPK3
302,PI-103,874,HIPK2
302,PI-103,16333,PIM3
302,PI-103,4082,CLK4
306,Fedratinib,2042,JAK2
308,Foretinib,5848,KDR
308,Foretinib,6799,PDGFRA
308,Foretinib,532,FLT4
308,Foretinib,4146,PDGFRB
308,Foretinib,8658,EGFR
308,Foretinib,3182,MET
308,Foretinib,1383,FGFR1
310,YM201636,4280,PIKFYVE
312,Tivozanib,6799,PDGFRA
312,Tivozanib,4146,PDGFRB
312,Tivozanib,9843,KIT
317,WYE-125132,16462,MTOR
326,GSK690693,8023,AKT1
326,GSK690693,4583,AKT3
326,GSK690693,3010,AKT2
329,QL-XI-92,16772,DDR1
331,QL-X-138,267,BTK
341,Selisistat,2039,SIRT1
344,THZ-2-49,7153,CDK9
345,KIN001-270,7153,CDK9
346,THZ-2-102-1,6658,CDK7
362,CI-1033,13847,ERBB4
362,CI-1033,7976,ERBB2
362,CI-1033,8658,EGFR
363,PF-00299804,13847,ERBB4
363,PF-00299804,7976,ERBB2
363,PF-00299804,8658,EGFR
371,Torin 2,16462,MTOR
372,Pilaralisib,686,PIK3CB
372,Pilaralisib,12689,PIK3CD
372,Pilaralisib,5108,PIK3CA
374,GSK1059615,686,PIK3CB
374,GSK1059615,12689,PIK3CD
374,GSK1059615,5108,PIK3CA
375,Voxtalisib,16462,MTOR
376,"Brivanib, BMS-540215",5848,KDR
376,"Brivanib, BMS-540215",6799,PDGFRA
376,"Brivanib, BMS-540215",2658,FLT1
376,"Brivanib, BMS-540215",532,FLT4
376,"Brivanib, BMS-540215",4146,PDGFRB
380,BIBF-1120,5848,KDR
380,BIBF-1120,6799,PDGFRA
380,BIBF-1120,2658,FLT1
380,BIBF-1120,532,FLT4
380,BIBF-1120,4146,PDGFRB
381,AST-1306,13847,ERBB4
381,AST-1306,8658,EGFR
382,Apitolisib,686,PIK3CB
382,Apitolisib,16462,MTOR
382,Apitolisib,12689,PIK3CD
382,Apitolisib,5108,PIK3CA
406,LIMK1 inhibitor BMS4,3298,LIMK1
409,"eEF2K Inhibitor, A-484954",2760,EEF2K
410,"MetAP2 Inhibitor, A832234",3788,METAP2
428,Pemetrexed,13590,TYMS
431,Alisertib,1731,AURKA
432,Flavopiridol,6658,CDK7
432,Flavopiridol,5273,CDK2
432,Flavopiridol,3149,CDK6
432,Flavopiridol,6908,CDK4
432,Flavopiridol,7153,CDK9
432,Flavopiridol,11153,CDK5
432,Flavopiridol,12394,CDK1
435,C-75,449,FAS
439,LCL161,2561,XIAP
449,CD532,1731,AURKA
474,ARRY-520,7437,KIF11
476,SB505124,5309,ACVR1C
476,SB505124,6921,ACVR1B
476,SB505124,3312,TGFBR1
573,LGK974,2620,PORCN
574,Wnt-C59,2620,PORCN
576,RU-SKI 43,11106,SHH
1010,Gefitinib,8658,EGFR
1011,Navitoclax,12723,BCL2
1013,Nilotinib,2044,ABL1
1016,Temsirolimus,16462,MTOR
1017,Olaparib,6007,PARP2
1017,Olaparib,8274,PARP1
1018,Veliparib,6007,PARP2
1018,Veliparib,8274,PARP1
1019,Bosutinib,16031,SRC
1019,Bosutinib,2044,ABL1
1019,Bosutinib,6938,TEC
1020,Lenalidomide,4163,CRBN
1021,Axitinib,5848,KDR
1021,Axitinib,6799,PDGFRA
1021,Axitinib,2658,FLT1
1021,Axitinib,532,FLT4
1021,Axitinib,4146,PDGFRB
1021,Axitinib,9843,KIT
1022,AZD7762,9007,CHEK1
1022,AZD7762,14654,CHEK2
1023,GW441756,16343,NTRK1
