Feature,MI
EXP_CTDNEP1 (23399),0.17698992106362876
EXP_SCYL1 (57410),0.17615330313530908
EXP_CTSZ (1522),0.1757721620773438
EXP_MAP2K6 (5608),0.17563031055661238
EXP_TTC4 (7268),0.17504964654725086
EXP_C2orf68 (388969),0.17502008409903347
EXP_CD79B (974),0.1747985302945425
EXP_FADS3 (3995),0.17473719609037985
EXP_HADHA (3030),0.17469659415154748
EXP_TNFSF12 (8742),0.17464302031102008
EXP_WASHC2C (253725),0.17460281007702783
EXP_ENO2 (2026),0.1744841799914152
EXP_IFIT2 (3433),0.17401917473686623
EXP_ABHD4 (63874),0.17401427504139466
EXP_USP1 (7398),0.17378352731215507
EXP_VEGFC (7424),0.17367252713170434
EXP_NFKB1 (4790),0.17351094533618738
EXP_F2R (2149),0.17350195555681758
EXP_ASIC1 (41),0.17347278896632723
EXP_PTGES (9536),0.17341950141590257
EXP_NADK2 (133686),0.17337468614992702
EXP_MEA1 (4201),0.17332866948593573
EXP_RALGDS (5900),0.173308447122003
EXP_UNC119 (9094),0.17329594861976716
EXP_C9orf72 (203228),0.1731491176450639
EXP_SLC22A14 (9389),0.1731489153373138
EXP_RIN2 (54453),0.17312657092337957
EXP_TAGLN3 (29114),0.17309147255845403
EXP_ZDHHC17 (23390),0.17305304244844422
EXP_TBL1XR1 (79718),0.17301383714893603
EXP_CAMK2N2 (94032),0.17300510211134768
EXP_FAM53B (9679),0.17289967015946406
EXP_TGFBI (7045),0.17288658629790632
EXP_MOCS3 (27304),0.17287129728405404
EXP_CRCP (27297),0.17285077283587924
EXP_ZNF394 (84124),0.17281879448915838
EXP_MAP1LC3B (81631),0.17280636116474568
EXP_CCNT2 (905),0.17279843057593514
EXP_NSMF (26012),0.17275806239186942
EXP_KHK (3795),0.17268167836728843
EXP_VAC14 (55697),0.17266905839647784
EXP_WDR43 (23160),0.17266268676573304
EXP_PPCDC (60490),0.17265126104379735
EXP_TMPRSS3 (64699),0.1726261287906219
EXP_PPP6R2 (9701),0.17253279947753075
EXP_GK5 (256356),0.1725310727528102
EXP_TADA3 (10474),0.17253091426041678
EXP_DDX50 (79009),0.17252910358213036
EXP_SAYSD1 (55776),0.17244338955162952
EXP_ROM1 (6094),0.17244170310042328
EXP_HHIP (64399),0.1724386097080579
EXP_MICAL1 (64780),0.17239775820940562
EXP_ACTR5 (79913),0.1723608257095668
EXP_PRPF3 (9129),0.1723523111139622
EXP_PICALM (8301),0.17233314230662966
EXP_AOX1 (316),0.17231068467337085
EXP_CASP10 (843),0.1723076402857311
EXP_GOSR2 (9570),0.1722962479785375
EXP_NPEPL1 (79716),0.1722903348507403
EXP_ZNF480 (147657),0.17228082006455114
EXP_SLC37A1 (54020),0.1722556810164244
EXP_POGK (57645),0.1722512948681123
EXP_NMB (4828),0.17225033843292703
EXP_MAP3K4 (4216),0.17224753787766112
EXP_CCT6B (10693),0.1722408288766406
EXP_ANKRD39 (51239),0.17224059781541445
EXP_ZNF12 (7559),0.17222321664565143
EXP_LRIF1 (55791),0.1722139511301135
EXP_BMPR2 (659),0.1722038193761959
EXP_PKD2L2 (27039),0.17217519132530068
EXP_LURAP1 (541468),0.17217096251648023
EXP_SPTBN4 (57731),0.17216812999008457
EXP_TMA16 (55319),0.17214575166782176
EXP_MCRS1 (10445),0.17212087349673144
EXP_ZMYM5 (9205),0.172074389850299
EXP_LETM1 (3954),0.17205841445725945
EXP_VPS41 (27072),0.17199834374709955
EXP_CLEC2B (9976),0.1719804083136376
EXP_MZF1 (7593),0.1719697134276874
EXP_HMGXB3 (22993),0.17196968582612193
EXP_GCA (25801),0.17195721218043492
EXP_SORD (6652),0.17193496798010877
EXP_ROBO1 (6091),0.17191488187597326
EXP_JAG1 (182),0.17191251271983443
EXP_SF3B5 (83443),0.1719081697633822
EXP_DNAJC3 (5611),0.17190794465961812
EXP_NELFB (25920),0.1719009621140284
EXP_UST (10090),0.17189703315232485
EXP_PRRC2A (7916),0.17189478496573773
EXP_PPP1R15A (23645),0.1718934573002988
EXP_VPS72 (6944),0.17187677125246115
EXP_PPP1R13B (23368),0.1718716107761029
EXP_PPIG (9360),0.17186041890607662
EXP_IL12A (3592),0.17185593436922098
EXP_COL6A1 (1291),0.1718368316017278
EXP_GTF2IRD2B (389524),0.171835666537695
EXP_RHPN2 (85415),0.1718299864599908
EXP_CHST12 (55501),0.17180891813905674
EXP_POMGNT2 (84892),0.17180519081260837
EXP_MOSPD3 (64598),0.17179152694246813
EXP_GID4 (79018),0.17179040443523697
EXP_AOC3 (8639),0.17177707197264258
EXP_COMMD2 (51122),0.17176977125605486
EXP_FURIN (5045),0.17176725231197754
EXP_SLC44A1 (23446),0.17176112318310466
EXP_MICU1 (10367),0.17175200988293415
EXP_EFHD2 (79180),0.1717433039485199
EXP_TMED4 (222068),0.1717395105406876
EXP_CCDC18 (343099),0.17172190145450372
EXP_REXO5 (81691),0.17172128048620383
EXP_DHTKD1 (55526),0.1716998776134533
EXP_CNIH3 (149111),0.1716475581819754
EXP_FGD4 (121512),0.17164688824077512
EXP_BPNT2 (54928),0.17163509946013633
EXP_TCP1 (6950),0.1716208470545384
EXP_IDE (3416),0.17161936817254375
EXP_CHCHD5 (84269),0.1716163543475071
EXP_BBS7 (55212),0.17160940424176818
EXP_NCALD (83988),0.17160603679918118
EXP_STARD4 (134429),0.171597598967705
EXP_CUL1 (8454),0.1715661384909124
EXP_RNF139 (11236),0.17156560336559767
EXP_CNNM2 (54805),0.17156483987885096
EXP_PNPLA4 (8228),0.1715549247356556
EXP_DSC2 (1824),0.17154863235590234
EXP_JAK2 (3717),0.17153015099703683
EXP_MTRFR (91574),0.17150437147886688
EXP_TNFRSF21 (27242),0.17150225363727412
EXP_ADM5 (199800),0.17149149329218982
EXP_IFT20 (90410),0.17148433271838126
EXP_ZNG1E (220869),0.17147852855557222
EXP_ANKRD1 (27063),0.17147603570079273
EXP_FGD6 (55785),0.17147254661129008
EXP_TADA1 (117143),0.17145424433891154
EXP_PARP9 (83666),0.17139297638392392
EXP_WDR97 (340390),0.17138622684217086
EXP_NUDC (10726),0.17135758315829097
EXP_BOC (91653),0.17134545374606258
EXP_DPH2 (1802),0.1713193045456114
