Gene,GeneID
TSPAN6,0
TNMD,1
DPM1,2
SCYL3,3
FIRRM,4
FGR,5
CFH,6
FUCA2,7
GCLC,8
NFYA,9
STPG1,10
NIPAL3,11
LAS1L,12
ENPP4,13
SEMA3F,14
CFTR,15
ANKIB1,16
CYP51A1,17
KRIT1,18
RAD52,19
MYH16,20
BAD,21
LAP3,22
CD99,23
HS3ST1,24
AOC1,25
WNT16,26
HECW1,27
MAD1L1,28
LASP1,29
SNX11,30
TMEM176A,31
M6PR,32
KLHL13,33
CYP26B1,34
ICA1,35
DBNDD1,36
ALS2,37
CASP10,38
CFLAR,39
TFPI,40
NDUFAF7,41
RBM5,42
MTMR7,43
SLC7A2,44
ARF5,45
SARM1,46
POLDIP2,47
PLXND1,48
AK2,49
CD38,50
FKBP4,51
KDM1A,52
RBM6,53
CAMKK1,54
RECQL,55
VPS50,56
HSPB6,57
ARHGAP33,58
NDUFAB1,59
PDK4,60
SLC22A16,61
ZMYND10,62
ABCB5,63
ARX,64
SLC25A13,65
ST7,66
CDC27,67
SLC4A1,68
CALCR,69
HCCS,70
DVL2,71
PRSS22,72
UPF1,73
SKAP2,74
SLC25A5,75
MCUB,76
HOXA11,77
POLR2J,78
DHX33,79
MEOX1,80
THSD7A,81
LIG3,82
RPAP3,83
ACSM3,84
REXO5,85
CIAPIN1,86
SPPL2B,87
ATOSB,88
COPZ2,89
PRKAR2B,90
MSL3,91
CREBBP,92
TSPOAP1,93
MPO,94
PON1,95
GCFC2,96
WDR54,97
CROT,98
ABCB4,99
KMT2E,100
RHBDD2,101
SOX8,102
IBTK,103
ZNF195,104
MYCBP2,105
FBXL3,106
ITGAL,107
PDK2,108
ITGA3,109
ZFX,110
LAMP2,111
ITGA2B,112
ASB4,113
GDE1,114
REX1BD,115
CRLF1,116
OSBPL7,117
TMEM98,118
YBX2,119
KRT33A,120
MAP3K14,121
ABCC8,122
CACNG3,123
TMEM132A,124
AP2B1,125
TAC1,126
ZNF263,127
CX3CL1,128
SPATA20,129
CACNA1G,130
TNFRSF12A,131
DLX6,132
MAP3K9,133
RALA,134
BAIAP2L1,135
KDM7A,136
ETV1,137
AGK,138
ALDH3B1,139
TTC22,140
PHTF2,141
CCL26,142
FARP2,143
USH1C,144
GGCT,145
DBF4,146
TBXA2R,147
IFRD1,148
LGALS14,149
COX10,150
GTF2IRD1,151
PAF1,152
VPS41,153
ARHGAP44,154
ELAC2,155
SCIN,156
ARSD,157
PNPLA4,158
MYH13,159
ADIPOR2,160
CDKL3,161
UPP2,162
PRSS21,163
MARK4,164
PROM1,165
CCDC124,166
CEACAM21,167
PAFAH1B1,168
NOS2,169
DNAH9,170
BLTP2,171
SLC13A2,172
GAS7,173
TRAPPC6A,174
MATK,175
CEACAM7,176
CD79B,177
SCN4A,178
ST7L,179
TKTL1,180
PAX6,181
RPUSD1,182
RHBDF1,183
LUC7L,184
CACNA2D2,185
BAIAP3,186
TSR3,187
PIGQ,188
CRAMP1,189
TEAD3,190
SELE,191
DNAJC11,192
FMO3,193
MYLIP,194
NOX1,195
E2F2,196
PSMB1,197
SYN1,198
JARID2,199
CDKL5,200
CAMK1G,201
CDK11A,202
NADK,203
TFAP2B,204
DLEC1,205
CYTH3,206
ADAM22,207
SYPL1,208
CYB561,209
SPAG9,210
CELSR3,211
AASS,212
PLEKHG6,213
SS18L2,214
MPND,215
MGST1,216
CRY1,217
PGLYRP1,218
NFIX,219
ST3GAL1,220
MMP25,221
IL32,222
PKD1,223
MAPK8IP2,224
MED24,225
RHOBTB2,226
HEATR5B,227
SEC62,228
RPS20,229
CSDE1,230
UBE3C,231
REV3L,232
TENM1,233
PAX7,234
MASP2,235
IYD,236
FAM76A,237
TRAF3IP3,238
POMT2,239
VTA1,240
MLXIPL,241
BAZ1B,242
RANBP9,243
ETV7,244
SPRTN,245
METTL13,246
DYRK4,247
ZNF207,248
UQCRC1,249
STARD3NL,250
CD9,251
HHATL,252
NCAPD2,253
IFFO1,254
GIPR,255
PHF7,256
SEMA3G,257
NISCH,258
STAB1,259
FUZ,260
SLC6A13,261
IDS,262
PRSS3,263
ZNF200,264
CD4,265
LRRC23,266
BTK,267
HFE,268
SCMH1,269
FYN,270
HIVEP2,271
FMO1,272
ELOA,273
LYPLA2,274
CLCN6,275
MRC2,276
SLC6A7,277
TSPAN9,278
BTBD7,279
APBA3,280
MKS1,281
ABHD5,282
ANOS1,283
AKAP8L,284
MBTD1,285
UTP18,286
RNF216,287
TTC19,288
PTBP1,289
DPF1,290
SYT7,291
LARS2,292
PIK3C2A,293
PLAUR,294
ANLN,295
WIZ,296
RABGAP1,297
DCN,298
QPCTL,299
PPP5C,300
CEP68,301
MAP4K3,302
ZBTB32,303
TYROBP,304
LDAF1,305
GABRA3,306
BRCA1,307
ERCC1,308
CD22,309
SEMA3B,310
MBTPS2,311
PRICKLE3,312
LTF,313
EXTL3,314
NR1H4,315
ELOVL5,316
ALOX5,317
KDM5D,318
CALCOCO1,319
UBR7,320
MAP4K5,321
EHD3,322
PSMC4,323
MAN2B2,324
SLC7A14,325
CLDN11,326
SLC25A39,327
MVP,328
NUB1,329
PGM3,330
RWDD2A,331
CLK1,332
POLR3B,333
ANGEL1,334
RNF14,335
DNASE1L1,336
DDX11,337
HEBP1,338
GPRC5A,339
MAMLD1,340
CD6,341
TACC3,342
UFL1,343
POLA2,344
ZC3H3,345
CAPN1,346
ACP3,347
MDH1,348
SLC30A9,349
MTMR11,350
COX15,351
CCDC88C,352
YAF2,353
ZMYND11,354
WAS,355
DPEP1,356
BID,357
MATR3,358
NPC1L1,359
XYLT2,360
RGPD5,361
STMN4,362
NUDCD3,363
ISL1,364
CHDH,365
IL20RA,366
CLCA1,367
CLCA4,368
GLT8D1,369
ATP2C1,370
IGF1,371
SLC38A5,372
RALBP1,373
RUFY3,374
CNTN1,375
SLC11A1,376
WWTR1,377
AGPS,378
STEEP1,379
ATP1A2,380
TTC27,381
ZNF582,382
VSIG2,383
PHLDB1,384
MARCO,385
CYP24A1,386
PRDM11,387
SYT13,388
SNAI2,389
CD74,390
HGF,391
ZRANB1,392
NCDN,393
ADGRA2,394
ZFP64,395
MNAT1,396
SAMD4A,397
RUNX3,398
MRE11,399
