GeneID,Gene,PathwayID,Pathway
13367,BANF1,0,2-LTR Circle Formation R-HSA-164843
7269,HMGA1,0,2-LTR Circle Formation R-HSA-164843
13202,LIG4,0,2-LTR Circle Formation R-HSA-164843
11186,PSIP1,0,2-LTR Circle Formation R-HSA-164843
4729,SGIP1,0,2-LTR Circle Formation R-HSA-164843
9299,XRCC4,0,2-LTR Circle Formation R-HSA-164843
1438,XRCC5,0,2-LTR Circle Formation R-HSA-164843
15847,XRCC6,0,2-LTR Circle Formation R-HSA-164843
15489,AGRN,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
13467,B3GALT6,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
3664,B3GAT1,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
3981,B3GAT2,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
9004,B3GAT3,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
460,B4GALT7,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
6475,BCAN,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
14402,BGN,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
13071,CSPG4,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
4233,CSPG5,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
298,DCN,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
856,GPC1,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
17096,GPC2,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
8742,GPC3,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
1341,GPC4,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
13981,GPC5,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
14518,GPC6,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
8094,HSPG2,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
6092,NCAN,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
4422,SDC1,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
12220,SDC2,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
10471,SDC3,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
5353,SDC4,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
546,VCAN,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
2781,XYLT1,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
360,XYLT2,1,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475
11192,ABCA1,2,ABC Transporter Disorders R-HSA-5619084
8370,ABCA12,2,ABC Transporter Disorders R-HSA-5619084
11888,ABCA3,2,ABC Transporter Disorders R-HSA-5619084
1224,ABCB11,2,ABC Transporter Disorders R-HSA-5619084
99,ABCB4,2,ABC Transporter Disorders R-HSA-5619084
4393,ABCB6,2,ABC Transporter Disorders R-HSA-5619084
430,ABCC2,2,ABC Transporter Disorders R-HSA-5619084
1899,ABCC6,2,ABC Transporter Disorders R-HSA-5619084
122,ABCC8,2,ABC Transporter Disorders R-HSA-5619084
1062,ABCC9,2,ABC Transporter Disorders R-HSA-5619084
2566,ABCD1,2,ABC Transporter Disorders R-HSA-5619084
4854,ABCD4,2,ABC Transporter Disorders R-HSA-5619084
7415,ABCG5,2,ABC Transporter Disorders R-HSA-5619084
8296,ABCG8,2,ABC Transporter Disorders R-HSA-5619084
4697,APOA1,2,ABC Transporter Disorders R-HSA-5619084
15,CFTR,2,ABC Transporter Disorders R-HSA-5619084
7210,DERL1,2,ABC Transporter Disorders R-HSA-5619084
1196,DERL2,2,ABC Transporter Disorders R-HSA-5619084
2113,DERL3,2,ABC Transporter Disorders R-HSA-5619084
1046,ERLEC1,2,ABC Transporter Disorders R-HSA-5619084
