DRUG_ID,DRUG_NAME,GlobalID
1,Erlotinib,7011
5,Sunitinib,7012
9,MG-132,7013
11,Paclitaxel,7014
17,Cyclopamine,7015
29,AZ628,7016
30,Sorafenib,7017
32,Tozasertib,7018
34,Imatinib,7019
38,Saracatinib,7020
41,S-Trityl-L-cysteine,7021
45,Z-LLNle-CHO,7022
51,Dasatinib,7023
52,GNF-2,7024
53,CGP-60474,7025
54,CGP-082996,7026
56,WH-4-023,7027
60,BI-2536,7028
62,BMS-536924,7029
71,Pyrimethamine,7030
83,JW-7-52-1,7031
86,A-443654,7032
87,GW843682X,7033
88,Entinostat,7034
106,XMD8-85,7035
110,Seliciclib,7036
111,Salubrinal,7037
127,GSK269962A,7038
133,Doxorubicin,7039
134,Etoposide,7040
135,Gemcitabine,7041
136,Mitomycin-C,7042
140,Vinorelbine,7043
147,NSC-87877,7044
151,QS11,7045
153,Midostaurin,7046
154,CHIR-99021,7047
155,Ponatinib,7048
158,PF-562271,7049
159,HG6-64-1,7050
165,DMOG,7051
166,FTI-277,7052
167,OSU-03012,7053
170,Shikonin,7054
171,AKT inhibitor VIII,7055
172,Embelin,7056
173,FH535,7057
175,PAC-1,7058
176,IPA-3,7059
177,GSK650394,7060
179,5-Fluorouracil,7061
180,Thapsigargin,7062
182,Obatoclax Mesylate,7063
184,BMS-754807,7064
185,Linsitinib,7065
186,Bexarotene,7066
190,Bleomycin,7067
196,Phenformin,7068
197,Bryostatin 1,7069
201,Epothilone B,7070
202,GSK1904529A,7071
204,Tipifarnib,7072
205,Avagacestat,7073
206,Ruxolitinib,7074
208,Ispinesib Mesylate,7075
211,TL-2-105,7076
219,AT-7519,7077
222,BX-912,7078
225,Genentech Cpd 10,7079
226,GSK1070916,7080
228,AKT inhibitor VIII,7081
230,GSK429286A,7082
249,Cabozantinib,7083
252,WZ3105,7084
255,CP724714,7085
257,NPK76-II-72-1,7086
258,STF-62247,7087
265,Tubastatin A,7088
266,Zibotentan,7089
268,Sepantronium bromide,7090
269,NSC-207895,7091
273,CUDC-101,7092
282,Pelitinib,7093
289,KIN001-042,7094
290,KIN001-260,7095
291,KIN001-266,7096
294,MPS-1-IN-1,7097
295,NVP-BHG712,7098
300,CX-5461,7099
301,PHA-793887,7100
302,PI-103,7101
306,Fedratinib,7102
308,Foretinib,7103
309,Y-39983,7104
317,WYE-125132,7105
326,GSK690693,7106
329,QL-XI-92,7107
330,XMD13-2,7108
333,T0901317,7109
344,THZ-2-49,7110
345,KIN001-270,7111
346,THZ-2-102-1,7112
362,CI-1033,7113
363,PF-00299804,7114
366,TWS119,7115
371,Torin 2,7116
372,Pilaralisib,7117
374,GSK1059615,7118
375,Voxtalisib,7119
376,"Brivanib, BMS-540215",7120
380,BIBF-1120,7121
381,AST-1306,7122
382,Apitolisib,7123
406,LIMK1 inhibitor BMS4,7124
409,"eEF2K Inhibitor, A-484954",7125
410,"MetAP2 Inhibitor, A832234",7126
412,Venotoclax,7127
415,CPI-613,7128
416,CAY10566,7129
427,Ara-G,7130
428,Pemetrexed,7131
431,Alisertib,7132
432,Flavopiridol,7133
435,C-75,7134
436,"CAP-232, TT-232, TLN-232",7135
439,LCL161,7136
446,MIM1,7137
449,CD532,7138
461,NSC319726,7139
474,ARRY-520,7140
476,SB505124,7141
477,A-83-01,7142
478,LDN-193189,7143
546,FTY-720,7144
552,BAM7,7145
562,AGI-6780,7146
573,LGK974,7147
574,Wnt-C59,7148
576,RU-SKI 43,7149
1001,AICA Ribonucleotide,7150
1004,Vinblastine,7151
1005,Cisplatin,7152
1006,Cytarabine,7153
1007,Docetaxel,7154
1008,Methotrexate,7155
1009,Tretinoin,7156
1010,Gefitinib,7157
1011,Navitoclax,7158
1013,Nilotinib,7159
1016,Temsirolimus,7160
1017,Olaparib,7161
1018,Veliparib,7162
1019,Bosutinib,7163
1020,Lenalidomide,7164
1021,Axitinib,7165
1022,AZD7762,7166
1024,Lestaurtinib,7167
1025,SB216763,7168
1029,Motesanib,7169
1032,Afatinib,7170
1033,Vismodegib,7171
1036,PLX-4720,7172
1039,SL0101,7173
1046,Wee1 Inhibitor,7174
1047,Nutlin-3a (-),7175
1048,Mirin,7176
1049,PD173074,7177
1050,ZM447439,7178
1052,RO-3306,7179
1053,MK-2206,7180
1054,Palbociclib,7181
1061,SB590885,7182
1067,CCT007093,7183
1069,EHT-1864,7184
1071,CRT0105446,7185
1072,Avagacestat,7186
1091,BMS-536924,7187
1114,Cetuximab,7188
1128,FS106,7189
1133,Serdemetan,7190
1142,HG-5-113-01,7191
1149,TW 37,7192
1155,QL-XII-47,7193
1157,XMD11-50,7194
1158,XMD11-85h,7195
1165,THZ-2-98-01,7196
1166,QL-VIII-58,7197
1175,Rucaparib,7198
1183,CRT0160829,7199
1187,CCT245232,7200
1188,CCT245467,7201
1192,GSK269962A,7202
1194,SB505124,7203
1202,torin2,7204
1204,HG-6-71-01,7205
1230,IOX2,7206
1239,YK-4-279,7207
1241,CHIR-99021,7208
1243,Piperlongumine,7209
1248,Daporinad,7210
1259,Talazoparib,7211
1261,rTRAIL,7212
1264,SGC0946,7213
1266,ICL1100013,7214
1268,XAV939,7215
1359,965-D2,7216
1362,BAY ACCi,7217
1363,BAY AKT1,7218
1364,BAY-HDAC11_1,7219
1365,BAY-HDAC11_2,7220
1367,BAY-HDAC11_4,7221
1368,BAY-MPS1,7222
1369,BAY-MPS-combo-1 (paclitaxel 5 uM),7223
1371,PLX-4720,7224
1373,Dabrafenib,7225
1375,Temozolomide,7226
1377,Afatinib,7227
1378,Bleomycin (50 uM),7228
1386,Doxorubicin,7229
1392,Bleomycin (10 uM),7230
1393,Gemcitabine,7231
1401,AZD5438,7232
1402,AZD7762,7233
1407,Dyrk1b_0191,7234
1409,AZD4877,7235
1422,FGFR_3831,7236
1425,BPTES,7237
1426,AZD7969,7238
1427,AZD5582,7239
1428,IAP_5620,7240
1429,IAP_7638,7241
1430,IGFR_3801,7242
1432,AZD1480,7243
1436,MCT1_6447,7244
1437,MCT4_1422,7245
1449,AZD1208,7246
1451,PLK_6522,7247
1453,RAF_9304,7248
1458,PARP_9495,7249
1459,PARP_0108,7250
1460,PARP_9482,7251
1464,TTK_3146,7252
1490,SN-38,7253
1494,SN-38,7254
1495,Olaparib,7255
1496,Cisplatin,7256
1497,AZD4547,7257
1529,Pevonedistat,7258
1530,PFI-3,7259
1531,I-CBP112,7260
