Pathway,Source,PathwayID
2-LTR Circle Formation R-HSA-164843,Reactome,0
GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,Reactome,1
ABC Transporter Disorders R-HSA-5619084,Reactome,2
ABC Transporters In Lipid Homeostasis R-HSA-1369062,Reactome,3
ABC-family Proteins Mediated Transport R-HSA-382556,Reactome,4
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,Reactome,5
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,Reactome,6
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,Reactome,7
AKT Phosphorylates Targets In Cytosol R-HSA-198323,Reactome,8
AKT Phosphorylates Targets In Nucleus R-HSA-198693,Reactome,9
ALK Mutants Bind TKIs R-HSA-9700645,Reactome,10
AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680,Reactome,11
APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337,Reactome,12
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,Reactome,13
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome,14
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,Reactome,15
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,Reactome,16
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome,17
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,Reactome,18
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Reactome,19
APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702,Reactome,20
APOBEC3G Mediated Resistance To HIV-1 R-HSA-180689,Reactome,21
ARMS-mediated Activation R-HSA-170984,Reactome,22
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,Reactome,23
ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,Reactome,24
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,Reactome,25
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,Reactome,26
AURKA Activation By TPX2 R-HSA-8854518,Reactome,27
Abacavir ADME R-HSA-2161522,Reactome,28
Abacavir Metabolism R-HSA-2161541,Reactome,29
Abacavir Transmembrane Transport R-HSA-2161517,Reactome,30
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,Reactome,31
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,Reactome,32
Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,Reactome,33
Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242,Reactome,34
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome,35
Acetylcholine Binding And Downstream Events R-HSA-181431,Reactome,36
Acetylcholine Inhibits Contraction Of Outer Hair Cells R-HSA-9667769,Reactome,37
Acetylcholine Regulates Insulin Secretion R-HSA-399997,Reactome,38
Acrosome Reaction And Sperm:Oocyte Membrane Binding R-HSA-1300645,Reactome,39
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948,Reactome,40
Activated NTRK2 Signals Thru CDK5 R-HSA-9032845,Reactome,41
Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731,Reactome,42
Activated NTRK2 Signals Thru FYN R-HSA-9032500,Reactome,43
Activated NTRK2 Signals Thru PI3K R-HSA-9028335,Reactome,44
Activated NTRK2 Signals Thru RAS R-HSA-9026519,Reactome,45
Activated NTRK3 Signals Thru PI3K R-HSA-9603381,Reactome,46
Activated NTRK3 Signals Thru RAS R-HSA-9034864,Reactome,47
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,48
Activated Point Mutants Of FGFR2 R-HSA-2033519,Reactome,49
Activation Of AMPK Downstream Of NMDARs R-HSA-9619483,Reactome,50
Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome,51
Activation Of ATR In Response To Replication Stress R-HSA-176187,Reactome,52
Activation Of BAD And Translocation To Mitochondria R-HSA-111447,Reactome,53
Activation Of BH3-only Proteins R-HSA-114452,Reactome,54
Activation Of C3 And C5 R-HSA-174577,Reactome,55
Activation Of Ca-permeable Kainate Receptor R-HSA-451308,Reactome,56
Activation Of G Protein Gated Potassium Channels R-HSA-1296041,Reactome,57
Activation Of GABAB Receptors R-HSA-991365,Reactome,58
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,59
Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964,Reactome,60
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome,61
Activation Of NF-kappaB In B Cells R-HSA-1169091,Reactome,62
"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767",Reactome,63
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,Reactome,64
Activation Of NOXA And Translocation To Mitochondria R-HSA-111448,Reactome,65
Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209,Reactome,66
Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,Reactome,67
Activation Of RAC1 R-HSA-428540,Reactome,68
Activation Of RAC1 Downstream Of NMDARs R-HSA-9619229,Reactome,69
Activation Of SMO R-HSA-5635838,Reactome,70
Activation Of TRKA Receptors R-HSA-187015,Reactome,71
Activation Of Caspases Thru Apoptosome-Mediated Cleavage R-HSA-111459,Reactome,72
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,Reactome,73
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,Reactome,74
Activation Of AP-1 Family Of Transcription Factors R-HSA-450341,Reactome,75
Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907,Reactome,76
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Reactome,77
Activation Of Phototransduction Cascade R-HSA-2485179,Reactome,78
Activation Of Pre-Replicative Complex R-HSA-68962,Reactome,79
