Feature,Importance
EXP_HEPHL1 (341208),0.0004105168718383455
CRISPR_PTP4A3 (11156),0.0003832309641032796
CRISPR_THRA (7067),0.00026382055150932216
CRISPR_BTBD2 (55643),0.000206269110357558
CRISPR_S100A5 (6276),0.00018596810544105748
CRISPR_PXMP2 (5827),0.00018326031376936623
CRISPR_ZNF770 (54989),0.00018028801346632782
EXP_ANAPC16 (119504),0.00017979670411243358
EXP_USP31 (57478),0.00016361800365624374
CRISPR_FBXW10 (10517),0.00016250643243633216
EXP_FSCN1 (6624),0.00015907916933446449
EXP_PHOSPHO2 (493911),0.00015738363199655032
CRISPR_SPOP (8405),0.0001560070150014659
CRISPR_TMEM256 (254863),0.00014393565572197068
CRISPR_REXO2 (25996),0.00014346035353153438
EXP_FOXD4L1 (200350),0.00014238789113225501
CRISPR_ZNF93 (81931),0.0001414468004627927
CRISPR_SP6 (80320),0.00013814406549732537
EXP_NDUFA5 (4698),0.0001298396815660731
CRISPR_KIF2C (11004),0.0001283615189906115
EXP_CDC42SE1 (56882),0.00012789017790283078
CRISPR_NAXE (128240),0.00012564968439283543
CRISPR_TARBP2 (6895),0.00012424428350250207
EXP_CAPZA2 (830),0.0001228086207133233
EXP_WNT4 (54361),0.00012230293223507198
EXP_SMIM30 (401397),0.00012143311562851306
CRISPR_ANHX (647589),0.00012029202604273964
CRISPR_MYL7 (58498),0.00011952479866892959
CRISPR_CSAD (51380),0.00011583554373841048
CRISPR_MFF (56947),0.0001157892353448685
CRISPR_ACACB (32),0.00011560347458765013
CRISPR_SLC25A18 (83733),0.000115575787714916
EXP_ARHGAP24 (83478),0.00011376729846428345
CRISPR_SMAD7 (4092),0.00011262728894155535
EXP_TRIM25 (7706),0.00011255427883279616
EXP_PCGF5 (84333),0.00011060299337647348
CRISPR_ZBTB40 (9923),0.00011044757728090841
EXP_RASEF (158158),0.00010887307798004598
EXP_ANKRD23 (200539),0.00010871625775910011
EXP_DBN1 (1627),0.00010682689201536035
CRISPR_EPC1 (80314),0.00010668774641437703
CRISPR_PAK2 (5062),0.00010497943575747273
CRISPR_SSX5 (6758),0.0001047466366418148
CRISPR_C8orf33 (65265),0.00010452740457508831
EXP_IGFBP2 (3485),0.0001043952038355174
CRISPR_TRIM61 (391712),0.00010369283123312143
EXP_ME2 (4200),0.00010358056358539829
CRISPR_TAF1 (6872),0.00010267456272303096
EXP_EHD4 (30844),0.00010250138455693503
CRISPR_CDH5 (1003),0.00010034760748341238
EXP_MECR (51102),0.00010010354212599102
CRISPR_KIF22 (3835),9.967023211228275e-05
EXP_CCDC102A (92922),9.961301598975316e-05
CRISPR_C1orf87 (127795),9.909442806118009e-05
EXP_RHOBTB1 (9886),9.821175641557373e-05
EXP_DCAF15 (90379),9.720433270784668e-05
CRISPR_MGAT2 (4247),9.707294526836e-05
EXP_RASA4B (100271927),9.644145209309208e-05
EXP_PCOLCE2 (26577),9.622792392687073e-05
CRISPR_POT1 (25913),9.616696786796661e-05
EXP_CCT6B (10693),9.530352542208302e-05
CRISPR_SCAF4 (57466),9.513022175352379e-05
EXP_SLC2A11 (66035),9.504076934976686e-05
CRISPR_MIEN1 (84299),9.497068798454605e-05
EXP_SND1 (27044),9.406526341642641e-05
CRISPR_PPIL3 (53938),9.315542668820445e-05
EXP_RNF144B (255488),9.313191104910237e-05
CRISPR_B3GNT3 (10331),9.295390074798815e-05
CRISPR_NAGPA (51172),9.242325314807689e-05
EXP_TNNC2 (7125),9.205453998797454e-05
EXP_PRPF3 (9129),9.149433277145315e-05
CRISPR_POTEI (653269),9.147023212588651e-05
EXP_MARCKS (4082),9.100519192021114e-05
EXP_MCTS2 (100101490),9.034363397259842e-05
EXP_RAB24 (53917),8.996135002981351e-05
EXP_KCTD11 (147040),8.957789909228807e-05
EXP_ENG (2022),8.91829565198945e-05
EXP_HERC3 (8916),8.913302832976497e-05
EXP_TM9SF2 (9375),8.897680961760283e-05
MUT_ZFP36L2 (678),8.805764431336128e-05
EXP_SNX19 (399979),8.763744024080334e-05
CRISPR_REM1 (28954),8.74792046219841e-05
CRISPR_DPH2 (1802),8.701186346366714e-05
EXP_IER5 (51278),8.630155651508742e-05
MUT_ZNF300 (91975),8.602857037913055e-05
EXP_ZNF277 (11179),8.549880941304274e-05
CRISPR_UBE2T (29089),8.521221127774376e-05
CRISPR_E2F4 (1874),8.499928250317725e-05
CRISPR_SIRT7 (51547),8.471250047960158e-05
EXP_MYO1B (4430),8.450702083296588e-05
EXP_PPP3CC (5533),8.437966481732338e-05
CRISPR_DCAF15 (90379),8.431198632691343e-05
MUT_PAPOLG (64895),8.41116718888192e-05
