Gene,Modality,Importance
HEPHL1,Expression,0.0004105168718383
PTP4A3,CRISPR,0.0003832309641032
THRA,CRISPR,0.0002638205515093
BTBD2,CRISPR,0.0002062691103575
S100A5,CRISPR,0.000185968105441
PXMP2,CRISPR,0.0001832603137693
ZNF770,CRISPR,0.0001802880134663
ANAPC16,Expression,0.0001797967041124
USP31,Expression,0.0001636180036562
FBXW10,CRISPR,0.0001625064324363
FSCN1,Expression,0.0001590791693344
PHOSPHO2,Expression,0.0001573836319965
SPOP,CRISPR,0.0001560070150014
TMEM256,CRISPR,0.0001439356557219
REXO2,CRISPR,0.0001434603535315
FOXD4L1,Expression,0.0001423878911322
ZNF93,CRISPR,0.0001414468004627
SP6,CRISPR,0.0001381440654973
NDUFA5,Expression,0.000129839681566
KIF2C,CRISPR,0.0001283615189906
CDC42SE1,Expression,0.0001278901779028
NAXE,CRISPR,0.0001256496843928
TARBP2,CRISPR,0.0001242442835025
CAPZA2,Expression,0.0001228086207133
WNT4,Expression,0.000122302932235
SMIM30,Expression,0.0001214331156285
ANHX,CRISPR,0.0001202920260427
MYL7,CRISPR,0.0001195247986689
CSAD,CRISPR,0.0001158355437384
MFF,CRISPR,0.0001157892353448
ACACB,CRISPR,0.0001156034745876
SLC25A18,CRISPR,0.0001155757877149
ARHGAP24,Expression,0.0001137672984642
SMAD7,CRISPR,0.0001126272889415
TRIM25,Expression,0.0001125542788327
PCGF5,Expression,0.0001106029933764
ZBTB40,CRISPR,0.0001104475772809
RASEF,Expression,0.00010887307798
ANKRD23,Expression,0.0001087162577591
DBN1,Expression,0.0001068268920153
EPC1,CRISPR,0.0001066877464143
PAK2,CRISPR,0.0001049794357574
SSX5,CRISPR,0.0001047466366418
C8orf33,CRISPR,0.000104527404575
IGFBP2,Expression,0.0001043952038355
TRIM61,CRISPR,0.0001036928312331
ME2,Expression,0.0001035805635853
TAF1,CRISPR,0.000102674562723
EHD4,Expression,0.0001025013845569
CDH5,CRISPR,0.0001003476074834
MECR,Expression,0.0001001035421259
KIF22,CRISPR,9.967023211228276e-05
CCDC102A,Expression,9.961301598975316e-05
C1orf87,CRISPR,9.909442806118009e-05
RHOBTB1,Expression,9.821175641557372e-05
